Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,1626.15,1665.75,1667.06,1624.78,55963553,63904051200.00,2.59,2.02,33.01,0.00
2009-07-02,1671.29,1691.40,1693.23,1671.08,66688127,77943316480.00,1.33,1.54,25.65,0.00
2009-07-03,1678.01,1721.65,1721.65,1674.47,65794816,78050304000.00,2.79,1.79,30.25,0.00
2009-07-06,1725.66,1747.60,1750.33,1725.66,81031854,94998061056.00,1.43,1.51,25.95,0.00
2009-07-07,1745.08,1734.52,1759.27,1727.22,78369278,86537084928.00,1.83,-0.75,-13.08,0.00
2009-07-08,1716.22,1738.63,1747.01,1689.79,72884482,83702685696.00,3.30,0.24,4.11,0.00
2009-07-09,1735.28,1760.18,1760.31,1728.85,69257796,83624361984.00,1.81,1.24,21.55,0.00
2009-07-10,1761.05,1756.82,1770.67,1744.36,63026572,75097014272.00,1.49,-0.19,-3.36,0.00
2009-07-13,1748.76,1736.47,1758.66,1734.50,62021512,73157394432.00,1.38,-1.16,-20.35,0.00
2009-07-14,1741.33,1778.86,1779.09,1741.33,67824848,78379442176.00,2.17,2.44,42.39,0.00
2009-07-15,1784.97,1802.39,1802.73,1784.66,83651234,98572681216.00,1.02,1.32,23.53,0.00
2009-07-16,1813.51,1799.97,1822.68,1796.10,78381318,95042707456.00,1.47,-0.13,-2.42,0.00
2009-07-17,1799.66,1806.43,1812.58,1790.16,67588435,79795404800.00,1.25,0.36,6.46,0.00
2009-07-20,1812.56,1841.79,1844.51,1802.26,85436760,104131231744.00,2.34,1.96,35.36,0.00
2009-07-21,1847.55,1812.05,1849.31,1808.91,80905221,99394363392.00,2.19,-1.61,-29.74,0.00
2009-07-22,1809.86,1852.38,1852.89,1809.39,73557728,94063976448.00,2.40,2.23,40.33,0.00
2009-07-23,1855.45,1881.72,1882.76,1847.97,76722699,92922707968.00,1.88,1.58,29.34,0.00
2009-07-24,1893.86,1900.95,1905.73,1857.67,86120714,107411300352.00,2.55,1.02,19.23,0.00
2009-07-27,1907.95,1940.35,1940.36,1904.13,87738815,112270680064.00,1.91,2.07,39.40,0.00
2009-07-28,1939.89,1951.49,1952.14,1919.16,87290858,113034403840.00,1.70,0.57,11.14,0.00
2009-07-29,1942.59,1847.73,1955.34,1794.63,103208832,126390509568.00,8.24,-5.32,-103.76,0.00
2009-07-30,1859.95,1886.23,1894.90,1819.99,88484723,106310180864.00,4.05,2.08,38.50,0.00
2009-07-31,1902.83,1938.55,1939.91,1885.00,84496832,105741230080.00,2.91,2.77,52.32,0.00
2009-08-03,1948.90,1962.34,1964.49,1925.46,84226460,109282549760.00,2.01,1.23,23.79,0.00
2009-08-04,1968.46,1957.28,1968.46,1919.92,81394347,104782061568.00,2.47,-0.26,-5.06,0.00
2009-08-05,1954.58,1934.34,1959.02,1909.78,81397396,104265121792.00,2.52,-1.17,-22.94,0.00
2009-08-06,1918.00,1892.69,1931.69,1861.54,69460728,93538254848.00,3.63,-2.15,-41.65,0.00
2009-08-07,1890.39,1835.07,1904.72,1827.05,60270726,80314384384.00,4.10,-3.04,-57.62,0.00
2009-08-10,1852.67,1826.76,1865.00,1797.19,50102764,64175726592.00,3.70,-0.45,-8.31,0.00
2009-08-11,1833.23,1834.83,1839.95,1810.21,36884009,47195602944.00,1.63,0.44,8.07,0.00
2009-08-12,1829.36,1751.77,1829.36,1748.01,60594877,72412209152.00,4.43,-4.53,-83.06,0.00
2009-08-13,1752.60,1771.67,1777.21,1720.54,53774070,63535251456.00,3.24,1.14,19.90,0.00
2009-08-14,1768.29,1718.44,1776.07,1712.62,56079145,66590281728.00,3.58,-3.00,-53.23,0.00
2009-08-17,1689.66,1615.62,1704.16,1614.03,57484680,64154415104.00,5.24,-5.98,-102.82,0.00
2009-08-18,1602.71,1632.35,1639.19,1587.38,47655323,53535657984.00,3.21,1.04,16.73,0.00
2009-08-19,1633.91,1553.21,1636.26,1534.83,49157965,54235365376.00,6.21,-4.85,-79.14,0.00
2009-08-20,1556.21,1616.30,1617.30,1556.21,49488047,55940608000.00,3.93,4.06,63.09,0.00
2009-08-21,1609.16,1639.98,1648.09,1598.33,53141542,58526527488.00,3.08,1.47,23.68,0.00
2009-08-24,1647.53,1655.00,1660.82,1627.96,51755469,60347662336.00,2.00,0.92,15.02,0.00
2009-08-25,1646.56,1594.59,1646.56,1549.37,62792616,71612284928.00,5.87,-3.65,-60.41,0.00
2009-08-26,1582.37,1627.24,1643.99,1572.19,55129919,63335702528.00,4.50,2.05,32.65,0.00
