Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,4211.08,4303.30,4303.30,4211.08,39116993,51775590400.00,2.18,1.69,71.57,0.00
2009-07-02,4316.69,4347.76,4347.76,4305.50,47493416,62283673600.00,0.98,1.03,44.46,0.00
2009-07-03,4308.51,4391.00,4392.45,4308.51,43146437,56739352576.00,1.93,0.99,43.24,0.00
2009-07-06,4394.77,4468.46,4472.12,4394.77,55436703,66437627904.00,1.76,1.76,77.46,0.00
2009-07-07,4467.27,4447.15,4506.78,4433.46,57085503,64089149440.00,1.64,-0.48,-21.31,0.00
2009-07-08,4409.02,4467.56,4473.18,4356.31,46353774,55689781248.00,2.63,0.46,20.41,0.00
2009-07-09,4461.95,4528.50,4528.50,4455.50,44455454,54551527424.00,1.63,1.36,60.94,0.00
2009-07-10,4533.38,4528.29,4561.25,4522.22,43868123,56257548288.00,0.86,0.00,-0.21,0.00
2009-07-13,4509.69,4481.24,4525.81,4479.43,40879126,52532191232.00,1.02,-1.04,-47.05,0.00
2009-07-14,4528.04,4603.55,4603.55,4528.04,41534961,51362271232.00,1.69,2.73,122.31,0.00
2009-07-15,4621.66,4694.23,4714.09,4621.66,59442714,74304061440.00,2.01,1.97,90.68,0.00
2009-07-16,4719.80,4691.40,4749.60,4673.66,51190924,68863246336.00,1.62,-0.06,-2.83,0.00
2009-07-17,4686.33,4735.60,4735.60,4679.89,44163378,58925039616.00,1.19,0.94,44.20,0.00
2009-07-20,4752.84,4850.48,4851.33,4748.56,58693784,79768576000.00,2.17,2.43,114.88,0.00
2009-07-21,4861.46,4743.02,4861.46,4742.11,52774617,72094646272.00,2.46,-2.22,-107.46,0.00
2009-07-22,4729.62,4835.57,4840.20,4729.62,45672417,64954208256.00,2.33,1.95,92.55,0.00
2009-07-23,4841.88,4880.91,4880.91,4824.92,42873033,59858886656.00,1.16,0.94,45.34,0.00
2009-07-24,4901.59,4905.64,4919.26,4794.27,52627504,72734597120.00,2.56,0.51,24.73,0.00
2009-07-27,4914.68,5018.91,5018.91,4914.68,63782060,89769738240.00,2.12,2.31,113.27,0.00
2009-07-28,5022.90,5086.40,5086.40,5007.01,66803108,89846300672.00,1.58,1.34,67.49,0.00
2009-07-29,5073.26,4825.57,5091.83,4781.50,72832993,90472660992.00,6.10,-5.13,-260.83,0.00
2009-07-30,4852.19,4925.28,4945.05,4770.48,53127240,67511435264.00,3.62,2.07,99.71,0.00
2009-07-31,4975.03,5077.96,5078.67,4935.76,55883702,73232539648.00,2.90,3.10,152.68,0.00
2009-08-03,5100.35,5191.55,5191.55,5096.51,59630784,80690782208.00,1.87,2.24,113.59,0.00
2009-08-04,5212.87,5212.00,5213.60,5119.50,59375465,83295870976.00,1.81,0.39,20.45,0.00
2009-08-05,5198.35,5148.60,5198.35,5055.53,55260851,74680647680.00,2.74,-1.22,-63.40,0.00
2009-08-06,5090.46,5020.92,5116.43,4971.50,47339954,68833116160.00,2.81,-2.48,-127.68,0.00
2009-08-07,5008.85,4848.98,5034.46,4845.68,41316235,59650048000.00,3.76,-3.42,-171.94,0.00
2009-08-10,4898.00,4855.51,4908.44,4770.52,34313367,47734317056.00,2.84,0.13,6.53,0.00
2009-08-11,4873.73,4874.56,4875.88,4809.90,25159000,35036569600.00,1.36,0.39,19.05,0.00
2009-08-12,4858.76,4642.89,4858.76,4642.89,36844381,49537015808.00,4.43,-4.75,-231.67,0.00
2009-08-13,4642.26,4700.74,4703.45,4577.03,34622396,46684647424.00,2.72,1.25,57.85,0.00
2009-08-14,4704.17,4565.38,4711.25,4562.84,36047584,47245242368.00,3.16,-2.88,-135.36,0.00
2009-08-17,4483.79,4251.69,4508.12,4250.66,36862863,44968321024.00,5.64,-6.87,-313.69,0.00
2009-08-18,4206.98,4335.24,4342.14,4206.08,33036106,38129164288.00,3.20,1.97,83.55,0.00
2009-08-19,4330.10,4086.13,4330.10,4047.44,32258552,38288089088.00,6.52,-5.75,-249.11,0.00
2009-08-20,4095.15,4262.79,4262.79,4095.15,30957797,39206920192.00,4.10,4.32,176.66,0.00
2009-08-21,4255.51,4369.54,4376.63,4254.45,35835669,43832012800.00,2.87,2.50,106.75,0.00
2009-08-24,4382.62,4398.96,4415.74,4337.66,31070312,40924409856.00,1.79,0.67,29.42,0.00
2009-08-25,4366.34,4251.61,4366.34,4133.24,35332626,43185700864.00,5.30,-3.35,-147.35,0.00
2009-08-26,4209.87,4340.93,4382.29,4209.87,30002986,37941518336.00,4.06,2.10,89.32,0.00
2009-08-27,4313.43,4337.90,4398.88,4282.98,30079523,36286177280.00,2.67,-0.07,-3.03,0.00
2009-08-28,4329.47,4194.23,4331.46,4185.24,33499102,39874138112.00,3.37,-3.31,-143.67,0.00
2009-08-31,4134.22,3876.26,4134.22,3872.21,32470904,38497464320.00,6.25,-7.58,-317.97,0.00
2009-09-01,3841.55,3880.51,3949.30,3834.77,25781262,29784590336.00,2.95,0.11,4.25,0.00
2009-09-02,3864.66,3950.01,3965.29,3864.66,24633845,28072478720.00,2.59,1.79,69.50,0.00
2009-09-03,3955.80,4173.45,4181.28,3955.80,37097815,44691910656.00,5.71,5.66,223.44,0.00
2009-09-04,4178.42,4205.60,4231.06,4172.10,35511512,46176509952.00,1.41,0.77,32.15,0.00
2009-09-07,4231.95,4242.90,4297.51,4225.73,32009129,42345934848.00,1.71,0.89,37.30,0.00
2009-09-08,4210.67,4338.78,4338.78,4164.58,34453423,48656482304.00,4.11,2.26,95.88,0.00
2009-09-09,4359.06,4382.03,4382.03,4305.69,38919981,53986086912.00,1.76,1.00,43.25,0.00
2009-09-10,4363.49,4329.17,4388.77,4328.77,26326890,35620474880.00,1.37,-1.21,-52.86,0.00
2009-09-11,4311.31,4414.45,4436.45,4311.31,30360195,40373444608.00,2.89,1.97,85.28,0.00
2009-09-14,4422.89,4482.06,4485.92,4417.02,32269025,41280602112.00,1.56,1.53,67.61,0.00
2009-09-15,4490.92,4506.97,4544.40,4463.54,36449733,45578268672.00,1.80,0.56,24.91,0.00
2009-09-16,4490.34,4443.99,4490.34,4387.66,35692494,49979478016.00,2.28,-1.40,-62.98,0.00
2009-09-17,4499.44,4523.70,4539.11,4487.14,35631147,49292476416.00,1.17,1.79,79.71,0.00
2009-09-18,4530.91,4367.61,4534.56,4335.96,39734023,49190277120.00,4.39,-3.45,-156.09,0.00
2009-09-21,4320.08,4389.36,4389.36,4235.32,27820467,37348134912.00,3.53,0.50,21.75,0.00
2009-09-22,4375.61,4280.19,4424.76,4280.19,29693871,39949332480.00,3.29,-2.49,-109.17,0.00
2009-09-23,4273.48,4171.19,4299.96,4151.40,25154002,33699551232.00,3.47,-2.55,-109.00,0.00
