Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2010-01-04,2449.73,2407.33,2453.62,2406.68,12866725,17426917681.00,0.00,0.00,0.00,0.00
2010-01-05,2415.63,2435.51,2443.19,2380.99,16698794,21920145519.00,2.58,1.17,28.18,0.00
2010-01-06,2429.92,2413.86,2452.65,2413.04,14002116,18972588728.00,1.63,-0.89,-21.65,0.00
2010-01-07,2408.67,2354.77,2419.17,2343.17,14026459,18386973823.00,3.15,-2.45,-59.09,0.00
2010-01-08,2342.15,2370.98,2375.93,2333.37,11679638,15440608068.00,1.81,0.69,16.21,0.00
2010-01-11,2478.58,2378.20,2478.58,2368.85,20495618,28439856839.00,4.63,0.30,7.22,0.00
2010-01-12,2370.70,2418.78,2427.23,2352.02,21961324,24718693718.00,3.16,1.71,40.58,0.00
2010-01-13,2359.03,2346.55,2393.35,2342.30,24804219,28673978306.00,2.11,-2.99,-72.23,0.00
2010-01-14,2358.98,2377.83,2385.03,2342.23,17067774,19754254896.00,1.82,1.33,31.28,0.00
2010-01-15,2381.28,2387.98,2399.75,2365.86,13615181,16835757547.00,1.43,0.43,10.15,0.00
2010-01-18,2382.77,2409.99,2411.19,2369.79,18192960,22635678212.00,1.73,0.92,22.01,0.00
2010-01-19,2413.46,2418.17,2434.58,2406.64,16348866,20296466979.00,1.16,0.34,8.18,0.00
2010-01-20,2421.49,2340.48,2423.85,2331.89,18736599,22016204627.00,3.80,-3.21,-77.69,0.00
2010-01-21,2344.10,2377.73,2393.59,2335.87,15548757,19066529095.00,2.47,1.59,37.25,0.00
2010-01-22,2346.47,2368.42,2385.97,2302.80,18287099,23368189377.00,3.50,-0.39,-9.31,0.00
2010-01-25,2344.97,2317.14,2370.69,2315.32,10482224,13276859600.00,2.34,-2.17,-51.28,0.00
2010-01-26,2317.40,2274.05,2328.77,2251.84,11209271,13749775825.00,3.32,-1.86,-43.09,0.00
2010-01-27,2273.44,2229.71,2280.41,2227.64,9202413,11052496995.00,2.32,-1.95,-44.34,0.00
2010-01-28,2227.50,2221.41,2234.91,2203.42,8135970,9568997258.00,1.41,-0.37,-8.30,0.00
2010-01-29,2212.11,2215.88,2253.72,2202.01,8834478,10421727409.00,2.33,-0.25,-5.53,0.00
2010-02-01,2211.65,2178.22,2212.44,2153.60,9312047,11017623343.00,2.66,-1.70,-37.66,0.00
2010-02-02,2191.30,2168.54,2218.42,2167.27,7339205,9256309187.00,2.35,-0.44,-9.68,0.00
2010-02-03,2178.09,2228.08,2229.01,2133.94,10112146,12561285914.00,4.38,2.75,59.54,0.00
2010-02-04,2211.20,2228.95,2246.67,2196.94,9197540,11381679735.00,2.23,0.04,0.87,0.00
2010-02-05,2180.81,2179.63,2197.08,2163.13,8266448,9627011844.00,1.52,-2.21,-49.32,0.00
2010-02-08,2179.99,2181.04,2195.20,2171.34,5983875,7175528288.00,1.09,0.06,1.41,0.00
2010-02-09,2179.78,2194.85,2199.67,2177.47,5011102,5811475898.00,1.02,0.63,13.81,0.00
2010-02-10,2211.66,2225.68,2226.32,2204.95,5611886,7239561841.00,0.97,1.40,30.83,0.00
2010-02-11,2227.00,2227.60,2242.41,2220.83,6794102,7446409077.00,0.97,0.09,1.92,0.00
2010-02-12,2239.10,2252.00,2252.96,2235.43,6041624,7250423355.00,0.79,1.10,24.40,0.00
2010-02-22,2248.64,2238.12,2258.11,2233.98,6417363,8025851453.00,1.07,-0.62,-13.88,0.00
2010-02-23,2235.00,2222.64,2235.09,2188.06,7712356,9852279831.00,2.10,-0.69,-15.48,0.00
2010-02-24,2207.60,2247.05,2248.28,2199.66,7922051,9304263615.00,2.19,1.10,24.41,0.00
2010-02-25,2252.33,2286.05,2289.16,2252.22,12589738,16473561957.00,1.64,1.74,39.00,0.00
2010-02-26,2281.48,2275.42,2288.93,2271.61,7773846,9226562298.00,0.76,-0.46,-10.63,0.00
2010-03-01,2274.72,2297.74,2305.00,2273.90,8564701,10066243061.00,1.37,0.98,22.32,0.00
2010-03-02,2299.47,2287.80,2305.90,2277.75,8045505,9196478462.00,1.23,-0.43,-9.94,0.00
2010-03-03,2290.13,2312.25,2313.73,2281.47,10929924,12390260135.00,1.41,1.07,24.45,0.00
2010-03-04,2313.12,2260.66,2320.69,2255.29,12482137,14012431676.00,2.83,-2.23,-51.59,0.00
2010-03-05,2264.53,2279.89,2289.49,2261.06,12392948,12013114646.00,1.26,0.85,19.23,0.00
