Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-10-09,4745.13,4837.87,4844.10,4738.44,1181302,2231275008.00,2.25,3.23,151.55,0.00
2009-10-12,4856.71,4849.20,4897.45,4837.32,1327954,2413667840.00,1.24,0.23,11.33,0.00
2009-10-13,4843.80,4845.69,4870.82,4816.40,1157690,2053263104.00,1.12,-0.07,-3.51,0.00
2009-10-14,4853.30,4791.04,4870.93,4781.83,1878533,4018580224.00,1.84,-1.13,-54.65,0.00
2009-10-15,4812.68,4709.97,4825.29,4693.40,1791075,3840794112.00,2.75,-1.69,-81.07,0.00
2009-10-16,4716.10,4715.60,4741.70,4654.08,1434322,2993367552.00,1.86,0.12,5.63,0.00
2009-10-19,4733.24,4810.98,4810.98,4719.31,2262166,4982608384.00,1.94,2.02,95.38,0.00
2009-10-20,4823.31,4988.46,4988.71,4805.79,3581397,7611412992.00,3.80,3.69,177.48,0.00
2009-10-21,4967.61,4898.25,4971.35,4895.40,2271237,4788152320.00,1.52,-1.81,-90.21,0.00
2009-10-22,4894.29,4888.85,4923.78,4837.44,2474332,4228751360.00,1.76,-0.19,-9.40,0.00
2009-10-23,4890.65,4915.50,4933.45,4890.65,2693470,5044146176.00,0.88,0.55,26.65,0.00
2009-10-26,4929.41,4867.19,4931.21,4839.85,2195395,4460320256.00,1.86,-0.98,-48.31,0.00
2009-10-27,4841.71,4781.86,4842.83,4778.48,1785193,3285257472.00,1.32,-1.75,-85.33,0.00
2009-10-28,4778.56,4840.14,4844.19,4770.66,1429701,2747803904.00,1.54,1.22,58.28,0.00
2009-10-29,4784.65,4781.28,4833.80,4759.10,1392972,2750685696.00,1.54,-1.22,-58.86,0.00
2009-10-30,4832.46,4833.54,4870.43,4806.19,1874559,3529069312.00,1.34,1.09,52.26,0.00
2009-11-02,4763.76,4947.21,4947.76,4744.61,2150130,4017760768.00,4.20,2.35,113.67,0.00
2009-11-03,4947.96,4990.08,5016.71,4935.99,2305347,4294849024.00,1.63,0.87,42.87,0.00
2009-11-04,4993.99,5084.84,5101.33,4977.51,2795058,5496297472.00,2.48,1.90,94.76,0.00
2009-11-05,5081.67,5090.33,5099.46,5054.35,2058251,3426915072.00,0.89,0.11,5.49,0.00
2009-11-06,5111.09,5045.27,5126.33,5032.82,2262706,4202354432.00,1.84,-0.89,-45.06,0.00
2009-11-09,5049.20,5078.34,5084.12,5019.28,2520632,4034688512.00,1.29,0.66,33.07,0.00
2009-11-10,5097.07,5134.39,5162.30,5084.04,2720448,5202075136.00,1.54,1.10,56.05,0.00
2009-11-11,5129.87,5203.09,5235.27,5115.23,2567692,5410137600.00,2.34,1.34,68.70,0.00
2009-11-12,5208.63,5305.02,5356.18,5207.08,2836684,6143528960.00,2.87,1.96,101.93,0.00
2009-11-13,5310.13,5399.64,5410.32,5287.34,3602066,7059588608.00,2.32,1.78,94.62,0.00
2009-11-16,5432.77,5534.50,5584.61,5432.77,3606425,7059411968.00,2.81,2.50,134.86,0.00
2009-11-17,5540.04,5525.77,5541.46,5446.87,2139030,4208287232.00,1.71,-0.16,-8.73,0.00
2009-11-18,5521.89,5534.09,5589.92,5480.21,2821347,4881590784.00,1.99,0.15,8.32,0.00
2009-11-19,5534.38,5509.44,5555.56,5462.67,2750412,4727214080.00,1.68,-0.45,-24.65,0.00
2009-11-20,5486.43,5547.58,5553.90,5471.25,2588792,5009635840.00,1.50,0.69,38.14,0.00
2009-11-23,5555.41,5718.40,5719.24,5548.02,3710907,6595369472.00,3.09,3.08,170.82,0.00
2009-11-24,5737.20,5513.21,5782.75,5502.85,3926999,7180415488.00,4.89,-3.59,-205.19,0.00
2009-11-25,5496.57,5718.21,5724.03,5491.26,3295557,6568266752.00,4.22,3.72,205.00,0.00
2009-11-26,5734.40,5442.27,5737.22,5428.23,3511592,6515927552.00,5.40,-4.83,-275.94,0.00
2009-11-27,5380.23,5348.17,5482.47,5298.57,2509764,4951031808.00,3.38,-1.73,-94.10,0.00
