Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-08-25,1048.02,1027.87,1048.02,996.93,15336746,15748866485.00,0.00,0.00,0.00,0.00
2009-08-26,1015.99,1058.11,1067.34,1008.83,13429059,14728255311.00,5.69,2.94,30.24,0.00
2009-08-27,1052.29,1060.61,1077.93,1044.49,12619883,13165423122.00,3.16,0.24,2.50,0.00
2009-08-28,1057.61,1025.36,1062.71,1021.17,10785185,10691696618.00,3.92,-3.32,-35.25,0.00
2009-08-31,1012.83,954.17,1012.83,953.99,10421110,10120182283.00,5.74,-6.94,-71.19,0.00
2009-09-01,946.09,945.97,969.35,931.54,9100310,8300672109.00,3.96,-0.86,-8.20,0.00
2009-09-02,941.82,956.69,962.75,936.22,7099776,6354913024.00,2.80,1.13,10.72,0.00
2009-09-03,958.96,1004.95,1007.35,958.83,11189212,10695876074.00,5.07,5.04,48.26,0.00
2009-09-04,1006.58,1024.07,1028.03,1000.92,12313154,12235180258.00,2.70,1.90,19.12,0.00
2009-09-07,1029.86,1032.79,1047.18,1022.66,11999288,12227629879.00,2.39,0.85,8.72,0.00
2009-09-08,1028.45,1052.09,1052.28,1016.89,10973670,11826883757.00,3.43,1.87,19.30,0.00
2009-09-09,1056.85,1059.52,1062.58,1044.67,10225402,12114201664.00,1.70,0.71,7.43,0.00
2009-09-10,1056.58,1050.61,1062.37,1043.20,10107048,10616805782.00,1.81,-0.84,-8.91,0.00
2009-09-11,1049.19,1072.47,1077.77,1047.97,14088525,13848014972.00,2.84,2.08,21.86,0.00
2009-09-14,1079.15,1098.48,1101.77,1077.19,16997618,17168446461.00,2.29,2.43,26.01,0.00
2009-09-15,1103.18,1100.47,1106.79,1088.31,14095088,15086763720.00,1.68,0.18,1.99,0.00
2009-09-16,1097.63,1100.02,1110.01,1080.16,14929277,16351636351.00,2.71,-0.04,-0.45,0.00
2009-09-17,1103.64,1122.18,1127.84,1103.64,14376126,15816161154.00,2.20,2.01,22.16,0.00
