Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,3438.38,3520.68,3520.68,3438.38,130662327,159546015744.00,2.39,2.03,70.04,0.00
2009-07-02,3532.86,3558.41,3558.41,3528.56,153207154,187872739328.00,0.85,1.07,37.73,0.00
2009-07-03,3531.17,3594.39,3594.39,3531.17,148516572,181359362048.00,1.78,1.01,35.98,0.00
2009-07-06,3601.28,3666.60,3668.10,3601.28,179278700,216790106112.00,1.86,2.01,72.21,0.00
2009-07-07,3662.92,3645.59,3697.54,3634.13,173506121,200346697728.00,1.73,-0.57,-21.01,0.00
2009-07-08,3612.30,3651.55,3661.35,3569.00,149221972,179248463872.00,2.53,0.16,5.96,0.00
2009-07-09,3648.52,3706.28,3706.28,3647.13,156723950,189243752448.00,1.62,1.50,54.73,0.00
2009-07-10,3710.22,3706.67,3732.02,3696.22,153972292,184525717504.00,0.97,0.01,0.39,0.00
2009-07-13,3692.07,3678.10,3714.06,3676.35,144752689,174697496576.00,1.02,-0.77,-28.57,0.00
2009-07-14,3710.70,3776.14,3776.14,3710.70,152718369,185495732224.00,1.78,2.67,98.04,0.00
2009-07-15,3790.11,3831.33,3838.01,3790.11,185537054,226121072640.00,1.27,1.46,55.19,0.00
2009-07-16,3853.83,3833.33,3879.47,3822.42,181091977,229040128000.00,1.49,0.05,2.00,0.00
2009-07-17,3832.28,3858.37,3861.61,3824.98,152656313,190267129856.00,0.96,0.65,25.04,0.00
2009-07-20,3874.93,3938.95,3941.99,3867.32,192855437,245396504576.00,1.94,2.09,80.58,0.00
2009-07-21,3950.16,3867.37,3950.16,3866.72,184631525,238301167616.00,2.12,-1.82,-71.58,0.00
2009-07-22,3860.51,3942.16,3942.16,3860.51,163143799,216635539456.00,2.11,1.93,74.79,0.00
2009-07-23,3949.25,3986.92,3986.92,3934.89,161779194,206676344832.00,1.32,1.14,44.76,0.00
2009-07-24,4004.90,4004.58,4014.95,3918.09,178893033,233394782208.00,2.43,0.44,17.66,0.00
2009-07-27,4015.89,4094.44,4094.44,4015.89,186667810,249649496064.00,1.96,2.24,89.86,0.00
2009-07-28,4098.24,4141.67,4141.67,4083.32,199144235,263426637824.00,1.43,1.15,47.23,0.00
2009-07-29,4131.41,3929.87,4148.55,3903.34,224042986,281882230784.00,5.92,-5.11,-211.80,0.00
2009-07-30,3954.61,4016.80,4035.56,3899.96,176236242,225425260544.00,3.45,2.21,86.93,0.00
2009-07-31,4055.09,4133.59,4133.59,4021.20,177794710,229419614208.00,2.80,2.91,116.79,0.00
2009-08-03,4154.44,4229.69,4229.69,4153.52,191905156,253620649984.00,1.84,2.32,96.10,0.00
2009-08-04,4247.40,4237.57,4247.40,4171.91,199200754,265603645440.00,1.78,0.19,7.88,0.00
2009-08-05,4228.09,4185.76,4232.07,4121.98,186747224,249825017856.00,2.60,-1.22,-51.81,0.00
2009-08-06,4149.51,4084.51,4163.26,4038.55,165808747,228520214528.00,2.98,-2.42,-101.25,0.00
2009-08-07,4077.01,3956.68,4102.06,3954.88,141664594,191304384512.00,3.60,-3.13,-127.83,0.00
2009-08-10,3995.78,3961.71,4006.44,3899.17,119194266,162619752448.00,2.71,0.13,5.03,0.00
2009-08-11,3976.48,3973.80,3980.04,3923.50,92114931,124547735552.00,1.43,0.31,12.09,0.00
