Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,2160.19,2170.77,2194.46,2157.08,2499877,1893849097.00,1.72,0.04,0.89,0.00
2009-07-02,2180.11,2197.97,2221.20,2167.97,3563046,2700281895.00,2.45,1.25,27.20,0.00
2009-07-03,2181.33,2156.27,2194.23,2145.89,3048400,2233341645.00,2.20,-1.90,-41.70,0.00
2009-07-06,2169.86,2244.89,2247.60,2143.86,5412319,3923975069.00,4.81,4.11,88.62,0.00
2009-07-07,2234.44,2265.33,2318.19,2226.32,5203257,4167352961.00,4.09,0.91,20.44,0.00
2009-07-08,2242.58,2254.51,2276.80,2221.44,2896692,2434772116.00,2.44,-0.48,-10.82,0.00
2009-07-09,2262.01,2284.52,2309.38,2258.87,2704274,2255452254.00,2.24,1.33,30.01,0.00
2009-07-10,2299.28,2282.62,2317.81,2268.86,2166462,1711628369.00,2.14,-0.08,-1.90,0.00
2009-07-13,2269.79,2230.52,2274.81,2227.24,2543693,2014005674.00,2.08,-2.28,-52.10,0.00
2009-07-14,2230.87,2318.47,2330.03,2230.87,3428774,2773732306.00,4.45,3.94,87.95,0.00
2009-07-15,2327.18,2338.78,2354.93,2316.62,3438827,2978201246.00,1.65,0.88,20.31,0.00
2009-07-16,2345.78,2286.42,2346.83,2267.58,3212527,2635785580.00,3.39,-2.24,-52.36,0.00
2009-07-17,2292.69,2284.37,2324.69,2269.33,3093702,2333689429.00,2.42,-0.09,-2.05,0.00
2009-07-20,2306.98,2340.07,2364.17,2306.86,4012627,3247512641.00,2.51,2.44,55.70,0.00
2009-07-21,2345.60,2268.67,2349.73,2262.84,3456954,2713854444.00,3.71,-3.05,-71.40,0.00
2009-07-22,2267.00,2295.41,2313.28,2266.69,3245890,2523766043.00,2.05,1.18,26.74,0.00
2009-07-23,2300.70,2365.88,2370.27,2273.18,4420431,3475362580.00,4.23,3.07,70.47,0.00
2009-07-24,2370.97,2429.06,2431.61,2339.74,6390320,5153578484.00,3.88,2.67,63.18,0.00
2009-07-27,2450.96,2462.75,2517.30,2440.76,5006537,4170889945.00,3.15,1.39,33.69,0.00
2009-07-28,2467.89,2476.05,2499.43,2423.19,3509279,3017909823.00,3.10,0.54,13.30,0.00
2009-07-29,2472.02,2363.94,2522.13,2314.07,4514815,3749385085.00,8.40,-4.53,-112.11,0.00
2009-07-30,2383.86,2548.92,2553.96,2367.20,7139950,5824513237.00,7.90,7.83,184.98,0.00
2009-07-31,2541.56,2562.28,2565.58,2505.50,4794549,4056371434.00,2.36,0.52,13.36,0.00
2009-08-03,2557.23,2561.37,2563.92,2515.57,3535698,3022873295.00,1.89,-0.04,-0.91,0.00
2009-08-04,2557.72,2511.32,2557.72,2466.65,3926774,3265000908.00,3.56,-1.95,-50.05,0.00
2009-08-05,2502.80,2486.10,2513.99,2434.66,3901788,3271685785.00,3.16,-1.00,-25.22,0.00
2009-08-06,2461.94,2438.68,2481.71,2399.31,2732295,2419677222.00,3.31,-1.91,-47.42,0.00
2009-08-07,2456.67,2411.15,2485.22,2399.83,3495991,3164240751.00,3.50,-1.13,-27.53,0.00
2009-08-10,2428.16,2398.12,2456.37,2368.02,2379620,2188677107.00,3.66,-0.54,-13.03,0.00
2009-08-11,2407.88,2388.27,2408.15,2361.51,1660324,1433628164.00,1.94,-0.41,-9.85,0.00
2009-08-12,2385.83,2291.92,2385.83,2283.68,2487635,1990900096.00,4.28,-4.03,-96.35,0.00
2009-08-13,2291.68,2302.13,2315.00,2250.67,2061029,1612132604.00,2.81,0.45,10.21,0.00
2009-08-14,2302.22,2205.56,2309.37,2203.08,2496592,1941188781.00,4.62,-4.19,-96.57,0.00
2009-08-17,2180.22,2055.54,2180.22,2048.20,3245911,2372094815.00,5.99,-6.80,-150.02,0.00
2009-08-18,2033.93,2085.82,2093.30,2032.95,2242956,1610886328.00,2.94,1.47,30.28,0.00
2009-08-19,2086.02,1970.98,2086.02,1942.32,2553248,1718971068.00,6.89,-5.51,-114.84,0.00
