Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,996.18,1019.65,1019.65,996.18,136282095,157766418432.00,0.00,0.00,0.00,0.00
2009-07-02,1023.08,1032.67,1032.67,1023.08,158959605,184626790400.00,0.94,1.28,13.02,0.00
2009-07-03,1024.89,1047.36,1047.36,1024.89,158999685,182607855616.00,2.18,1.42,14.69,0.00
2009-07-06,1049.75,1060.26,1061.36,1049.66,185645409,213568159744.00,1.12,1.23,12.90,0.00
2009-07-07,1058.63,1051.93,1065.29,1048.79,181278473,198512951296.00,1.56,-0.79,-8.33,0.00
2009-07-08,1042.10,1058.00,1060.19,1032.06,156178195,179245514752.00,2.67,0.58,6.07,0.00
2009-07-09,1057.06,1072.86,1072.86,1054.65,165226254,190812209152.00,1.72,1.40,14.86,0.00
2009-07-10,1073.73,1074.64,1081.94,1070.75,163077405,186894286848.00,1.04,0.17,1.78,0.00
2009-07-13,1070.47,1067.03,1076.77,1066.10,155912100,179321110528.00,0.99,-0.71,-7.61,0.00
2009-07-14,1076.50,1092.02,1092.02,1076.50,161478461,186080247808.00,1.45,2.34,24.99,0.00
2009-07-15,1095.90,1105.25,1105.43,1095.90,193377856,227900243968.00,0.87,1.21,13.23,0.00
2009-07-16,1111.84,1106.04,1119.02,1102.89,189098320,230351585280.00,1.46,0.07,0.79,0.00
2009-07-17,1105.27,1112.85,1113.75,1102.75,163483747,194362982400.00,0.99,0.62,6.81,0.00
2009-07-20,1116.82,1135.38,1136.21,1113.33,201195430,247476027392.00,2.06,2.02,22.53,0.00
2009-07-21,1138.15,1115.26,1138.15,1115.00,194208929,238200668160.00,2.04,-1.77,-20.12,0.00
2009-07-22,1112.76,1136.83,1136.83,1112.76,170774782,217018990592.00,2.16,1.93,21.57,0.00
2009-07-23,1138.74,1150.14,1150.14,1135.68,170554924,207890595840.00,1.27,1.17,13.31,0.00
2009-07-24,1155.97,1154.33,1159.91,1130.62,191503209,237994033152.00,2.55,0.36,4.19,0.00
2009-07-27,1157.82,1177.88,1177.88,1157.78,200398264,254983700480.00,1.74,2.04,23.55,0.00
2009-07-28,1178.67,1185.37,1185.37,1169.43,206928984,264566505472.00,1.35,0.64,7.49,0.00
2009-07-29,1180.63,1120.44,1185.03,1113.53,274939693,311413112832.00,6.03,-5.48,-64.93,0.00
2009-07-30,1127.22,1140.57,1145.46,1104.67,202791688,237185662976.00,3.64,1.80,20.13,0.00
2009-07-31,1150.25,1173.72,1173.77,1141.71,197744509,241449287680.00,2.81,2.91,33.15,0.00
2009-08-03,1179.76,1192.28,1192.89,1172.98,209389291,260014571520.00,1.70,1.58,18.56,0.00
2009-08-04,1196.50,1195.92,1196.50,1174.76,217727159,270226063360.00,1.82,0.31,3.64,0.00
2009-08-05,1194.38,1184.56,1197.43,1167.30,201774346,253084106752.00,2.52,-0.95,-11.36,0.00
2009-08-06,1174.49,1160.23,1181.84,1146.43,175232831,226127740928.00,2.99,-2.05,-24.33,0.00
