Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,4741.09,4928.96,4929.97,4722.83,15292406,15320646656.00,4.36,3.66,173.98,0.00
2009-07-02,4940.10,4975.67,5028.75,4924.33,14726075,15164296192.00,2.12,0.95,46.71,0.00
2009-07-03,4934.54,5030.76,5030.76,4934.54,11925778,12412564480.00,1.93,1.11,55.09,0.00
2009-07-06,5029.42,5090.19,5114.22,5029.42,14782598,14575437824.00,1.69,1.18,59.43,0.00
2009-07-07,5087.69,4972.51,5087.69,4962.25,14466647,15520214016.00,2.46,-2.31,-117.68,0.00
2009-07-08,4913.57,4875.51,4913.57,4761.90,20062136,18999144448.00,3.05,-1.95,-97.00,0.00
2009-07-09,4855.35,4884.23,4886.92,4782.89,12042720,12522838016.00,2.13,0.18,8.72,0.00
2009-07-10,4886.65,4859.61,4891.22,4832.03,9814319,10083836928.00,1.21,-0.50,-24.62,0.00
2009-07-13,4826.99,4741.70,4826.99,4741.70,12435355,12221969408.00,1.76,-2.43,-117.91,0.00
2009-07-14,4810.89,4891.49,4891.49,4810.89,12806823,13339530240.00,1.70,3.16,149.79,0.00
2009-07-15,4905.73,4910.31,4947.53,4866.03,13151797,12738584576.00,1.67,0.38,18.82,0.00
2009-07-16,4947.32,5055.60,5106.68,4912.47,21087081,22534701056.00,3.96,2.96,145.29,0.00
2009-07-17,5056.66,5018.73,5074.68,4989.35,14805675,14554411008.00,1.69,-0.73,-36.87,0.00
2009-07-20,5028.84,5047.15,5062.31,4958.21,15425823,14816053248.00,2.07,0.57,28.42,0.00
2009-07-21,5049.63,4988.60,5121.70,4988.60,15828560,16187798528.00,2.64,-1.16,-58.55,0.00
2009-07-22,4999.41,5071.07,5073.31,4991.47,15506262,16024118272.00,1.64,1.65,82.47,0.00
2009-07-23,5076.40,5189.35,5228.85,5035.01,19197192,19032215552.00,3.82,2.33,118.28,0.00
2009-07-24,5215.67,5200.06,5250.35,5104.64,15819727,15726623744.00,2.81,0.21,10.71,0.00
2009-07-27,5211.43,5291.68,5309.62,5211.43,16135236,15790694400.00,1.89,1.76,91.62,0.00
2009-07-28,5297.23,5250.97,5299.30,5221.74,13939090,14440074240.00,1.47,-0.77,-40.71,0.00
2009-07-29,5240.10,5102.64,5386.35,5074.87,25897359,26777430016.00,5.93,-2.82,-148.33,0.00
2009-07-30,5187.94,5371.83,5410.75,5180.46,26670133,29595176960.00,4.51,5.28,269.19,0.00
2009-07-31,5423.92,5428.19,5428.19,5341.56,18956715,18198953984.00,1.61,1.05,56.36,0.00
2009-08-03,5439.53,5394.37,5439.53,5336.78,14543526,16118164480.00,1.89,-0.62,-33.82,0.00
2009-08-04,5407.31,5262.96,5407.31,5206.08,17526932,18650488832.00,3.73,-2.44,-131.41,0.00
2009-08-05,5247.31,5154.75,5247.31,5125.57,16057707,16879135744.00,2.31,-2.06,-108.21,0.00
2009-08-06,5113.23,5057.60,5169.19,4969.01,14127205,14935165952.00,3.88,-1.88,-97.15,0.00
2009-08-07,5051.42,4981.23,5119.23,4979.17,10784081,11514241024.00,2.77,-1.51,-76.37,0.00
2009-08-10,5032.06,4902.93,5032.06,4865.78,11315978,11633718272.00,3.34,-1.57,-78.30,0.00
2009-08-11,4929.31,4906.10,4929.31,4858.02,7774592,8314866688.00,1.45,0.06,3.17,0.00
2009-08-12,4897.41,4719.41,4927.55,4719.41,12931324,13409573888.00,4.24,-3.81,-186.69,0.00
