Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-03,1690.46,1700.68,1702.84,1685.49,6623708,5627816960.00,0.00,0.00,0.00,0.00
2009-07-06,1700.69,1708.10,1708.15,1681.17,7304193,6637193728.00,1.59,0.44,7.42,0.00
2009-07-07,1705.67,1711.66,1721.71,1699.46,7484666,6377062400.00,1.30,0.21,3.56,0.00
2009-07-08,1703.92,1723.42,1726.45,1697.13,6693131,5630027776.00,1.71,0.69,11.76,0.00
2009-07-09,1723.55,1770.00,1771.41,1721.25,9731299,9204435968.00,2.91,2.70,46.58,0.00
2009-07-10,1770.07,1772.79,1789.28,1766.87,8628813,7829770752.00,1.27,0.16,2.79,0.00
2009-07-13,1771.93,1804.01,1818.28,1769.10,8710907,8152977920.00,2.77,1.76,31.22,0.00
2009-07-14,1810.77,1825.48,1825.90,1805.49,7910272,7118983168.00,1.13,1.19,21.47,0.00
2009-07-15,1831.15,1833.31,1841.61,1825.14,9127455,8436710400.00,0.90,0.43,7.83,0.00
2009-07-16,1840.60,1823.81,1846.88,1821.45,9823205,8789549056.00,1.39,-0.52,-9.50,0.00
2009-07-17,1825.97,1854.39,1862.25,1825.97,8908666,8464627200.00,1.99,1.68,30.58,0.00
2009-07-20,1862.00,1893.01,1896.21,1861.60,9776935,10448915456.00,1.87,2.08,38.62,0.00
2009-07-21,1896.41,1848.62,1910.72,1840.46,11264672,11265753088.00,3.71,-2.34,-44.39,0.00
2009-07-22,1848.21,1872.91,1872.93,1847.90,7657353,7476403712.00,1.35,1.31,24.29,0.00
2009-07-23,1876.98,1891.35,1891.56,1866.54,7246974,7349357056.00,1.34,0.98,18.44,0.00
2009-07-24,1897.62,1868.80,1901.63,1839.86,8539951,8302624768.00,3.27,-1.19,-22.55,0.00
2009-07-27,1879.47,1906.23,1906.23,1879.47,8907997,8502289920.00,1.43,2.00,37.43,0.00
2009-07-28,1911.07,1952.76,1958.20,1904.90,12154394,11685970944.00,2.80,2.44,46.53,0.00
2009-07-29,1950.59,1831.17,1952.90,1792.39,11642179,11119605760.00,8.22,-6.23,-121.59,0.00
2009-07-30,1839.55,1891.81,1892.45,1826.51,9934611,9937878016.00,3.60,3.31,60.64,0.00
2009-07-31,1903.59,1943.11,1949.44,1898.76,11861352,11367986176.00,2.68,2.71,51.30,0.00
2009-08-03,1948.34,1974.58,1979.19,1930.94,10690758,10038528000.00,2.48,1.62,31.47,0.00
2009-08-04,1974.18,1981.46,1983.51,1931.29,10105884,9917016064.00,2.64,0.35,6.88,0.00
2009-08-05,1981.32,1979.48,2007.68,1950.92,9238009,9106869248.00,2.86,-0.10,-1.98,0.00
2009-08-06,1969.97,1948.38,1985.23,1927.08,8675733,8748692480.00,2.94,-1.57,-31.10,0.00
2009-08-07,1945.31,1886.61,1959.66,1878.19,7387651,7140820992.00,4.18,-3.17,-61.77,0.00
2009-08-10,1905.73,1898.46,1921.25,1862.04,5421496,5066072064.00,3.14,0.63,11.85,0.00
2009-08-11,1906.36,1916.46,1919.89,1886.80,4484877,4422683648.00,1.74,0.95,18.00,0.00
2009-08-12,1910.94,1807.55,1910.94,1803.63,6258269,6013175296.00,5.60,-5.68,-108.91,0.00
2009-08-13,1807.53,1801.81,1822.60,1774.04,4439873,4205456896.00,2.69,-0.32,-5.74,0.00
