Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,3324.32,3357.22,3357.63,3321.79,23845475,21079968988.00,1.07,0.66,22.12,0.29
2009-07-02,3367.13,3389.92,3389.92,3358.72,26330943,23861501564.00,0.93,0.97,32.70,0.32
2009-07-03,3378.73,3423.77,3424.08,3366.88,30461756,27233129509.00,1.69,1.00,33.85,0.37
2009-07-06,3426.37,3417.16,3428.93,3389.66,27721689,24782703340.00,1.15,-0.19,-6.61,0.34
2009-07-07,3414.55,3433.16,3450.61,3399.04,27338254,24785309398.00,1.51,0.47,16.00,0.33
2009-07-08,3419.27,3479.21,3481.94,3412.12,25234878,23334531824.00,2.03,1.34,46.05,0.31
2009-07-09,3479.08,3551.98,3551.98,3479.08,31850815,30469683193.00,2.10,2.09,72.77,0.39
2009-07-10,3553.46,3566.93,3585.61,3547.12,31383115,29920490812.00,1.08,0.42,14.95,0.38
2009-07-13,3556.61,3598.01,3617.49,3551.88,30669208,29407815311.00,1.84,0.87,31.08,0.37
2009-07-14,3608.92,3658.50,3658.50,3608.92,30677081,29787375282.00,1.38,1.68,60.49,0.37
2009-07-15,3671.57,3694.75,3697.93,3663.26,35833502,35640098076.00,0.95,0.99,36.25,0.43
2009-07-16,3702.90,3682.37,3719.34,3671.41,34508258,33913044806.00,1.30,-0.34,-12.38,0.42
2009-07-17,3672.52,3703.26,3712.84,3662.72,30762981,29974786126.00,1.36,0.57,20.89,0.37
2009-07-20,3713.33,3768.36,3768.36,3713.33,33523636,33922915307.00,1.49,1.76,65.10,0.41
2009-07-21,3773.29,3671.16,3773.29,3663.04,35562115,34739311215.00,2.93,-2.58,-97.20,0.43
2009-07-22,3666.34,3725.45,3725.46,3666.34,28552238,28672960982.00,1.61,1.48,54.29,0.35
2009-07-23,3730.72,3771.71,3771.71,3723.01,29688694,29450346700.00,1.31,1.24,46.26,0.36
2009-07-24,3784.50,3741.69,3791.66,3674.06,32145320,31512192734.00,3.12,-0.80,-30.02,0.39
2009-07-27,3751.59,3816.04,3816.15,3751.59,30903967,31446452203.00,1.73,1.99,74.35,0.37
2009-07-28,3820.96,3865.94,3865.94,3789.00,34931607,35673638263.00,2.02,1.31,49.90,0.42
2009-07-29,3853.99,3618.03,3859.08,3534.54,36571774,36998201609.00,8.39,-6.41,-247.91,0.44
2009-07-30,3629.47,3660.61,3682.57,3535.76,27473300,27639225472.00,4.06,1.18,42.58,0.33
2009-07-31,3678.64,3771.17,3773.39,3670.60,28828441,30054893011.00,2.81,3.02,110.56,0.35
2009-08-03,3783.49,3838.62,3838.62,3761.73,32649637,32837887893.00,2.04,1.79,67.45,0.40
2009-08-04,3840.23,3876.24,3876.24,3776.57,35390498,35676430693.00,2.60,0.98,37.62,0.43
2009-08-05,3874.90,3901.16,3920.69,3825.16,35433192,36039047406.00,2.46,0.64,24.92,0.43
2009-08-06,3876.75,3849.22,3914.77,3785.33,30238363,31284844526.00,3.32,-1.33,-51.94,0.37
2009-08-07,3844.77,3742.53,3869.91,3727.67,27156832,27657161918.00,3.70,-2.77,-106.69,0.33
2009-08-10,3777.36,3774.80,3807.19,3708.37,21703224,21935859565.00,2.64,0.86,32.27,0.26
2009-08-11,3784.71,3800.70,3803.04,3748.73,17948291,18768969472.00,1.44,0.69,25.90,0.22
2009-08-12,3787.97,3610.93,3787.97,3602.42,21189729,21196931804.00,4.88,-4.99,-189.77,0.26
2009-08-13,3608.82,3616.84,3633.92,3540.76,16723423,16255206238.00,2.58,0.16,5.91,0.20
2009-08-14,3612.38,3434.00,3620.68,3434.00,19437656,18663338628.00,5.16,-5.06,-182.84,0.24
2009-08-17,3389.62,3197.23,3395.88,3196.08,19459033,17760266754.00,5.82,-6.89,-236.77,0.24
2009-08-18,3162.93,3252.12,3261.74,3140.34,15083012,13291133998.00,3.80,1.72,54.89,0.18
