Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,1896.12,1950.99,1953.93,1894.37,52481834,80013445455.00,3.13,2.37,45.26,0.00
2009-07-02,1959.76,1983.21,1985.50,1959.32,64227868,95990492469.00,1.34,1.65,32.22,0.00
2009-07-03,1965.82,2017.21,2017.80,1960.28,60766233,90517393358.00,2.90,1.71,34.00,0.00
2009-07-06,2020.83,2040.21,2047.82,2020.83,70041529,103514875668.00,1.34,1.14,23.00,0.00
2009-07-07,2036.18,2015.23,2046.79,2006.73,62981527,87144610260.00,1.96,-1.22,-24.98,0.00
2009-07-08,1993.70,2034.92,2043.41,1970.72,56235285,84416748796.00,3.61,0.98,19.69,0.00
2009-07-09,2032.90,2056.87,2057.38,2019.35,57645458,84172549441.00,1.87,1.08,21.95,0.00
2009-07-10,2058.68,2057.60,2076.74,2043.45,55251353,80895871032.00,1.62,0.04,0.73,0.00
2009-07-13,2043.63,2026.61,2053.63,2024.82,52418434,77879029267.00,1.40,-1.51,-30.99,0.00
2009-07-14,2034.77,2080.00,2080.27,2034.77,54667253,80617922942.00,2.25,2.63,53.39,0.00
2009-07-15,2089.69,2102.68,2104.90,2088.07,67357512,99543451294.00,0.81,1.09,22.68,0.00
2009-07-16,2118.96,2105.67,2138.55,2099.24,64045550,99512078486.00,1.87,0.14,2.99,0.00
2009-07-17,2104.03,2117.11,2121.98,2093.14,55215670,84765212387.00,1.37,0.54,11.44,0.00
2009-07-20,2125.36,2160.66,2163.01,2114.51,71616393,110209999183.00,2.29,2.06,43.55,0.00
2009-07-21,2170.90,2133.74,2178.57,2128.25,69991603,109860802697.00,2.33,-1.25,-26.92,0.00
2009-07-22,2128.91,2181.48,2183.18,2127.93,61034248,100904296161.00,2.59,2.24,47.74,0.00
2009-07-23,2185.17,2202.51,2206.82,2174.79,57170672,90106422219.00,1.47,0.96,21.03,0.00
2009-07-24,2217.15,2213.84,2230.60,2169.43,68224281,106515586588.00,2.78,0.51,11.33,0.00
2009-07-27,2224.15,2267.17,2267.82,2214.51,72365742,119315027923.00,2.41,2.41,53.33,0.00
2009-07-28,2266.09,2269.46,2270.06,2236.61,75428516,118648577212.00,1.48,0.10,2.29,0.00
2009-07-29,2258.61,2140.08,2271.39,2078.15,82358182,125838764720.00,8.51,-5.70,-129.38,0.00
2009-07-30,2159.08,2183.84,2194.37,2104.41,65350875,100170242068.00,4.20,2.04,43.76,0.00
2009-07-31,2204.71,2244.35,2246.67,2183.62,65430717,100536741708.00,2.89,2.77,60.51,0.00
2009-08-03,2260.89,2269.09,2275.04,2230.45,66380358,105942972784.00,1.99,1.10,24.74,0.00
2009-08-04,2278.93,2271.34,2278.93,2224.93,72278654,113747178260.00,2.38,0.10,2.25,0.00
2009-08-05,2269.13,2241.74,2275.75,2215.78,70353044,108575333360.00,2.64,-1.30,-29.60,0.00
2009-08-06,2220.12,2194.63,2239.85,2155.16,62004575,102531654013.00,3.78,-2.10,-47.11,0.00
