Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-03,2697.63,2689.07,2713.38,2679.45,3271726,2634548736.00,0.00,0.00,0.00,0.00
2009-07-06,2688.75,2738.58,2741.02,2672.90,5766197,4706920448.00,2.53,1.84,49.51,0.00
2009-07-07,2744.07,2821.29,2844.16,2740.98,5698327,5329189888.00,3.77,3.02,82.71,0.00
2009-07-08,2801.92,2841.41,2845.18,2798.17,3227468,3116735488.00,1.67,0.71,20.12,0.00
2009-07-09,2849.84,2902.02,2902.60,2833.96,3106163,3037548032.00,2.42,2.13,60.61,0.00
2009-07-10,2904.08,2893.93,2917.98,2883.16,2519241,2321175040.00,1.20,-0.28,-8.09,0.00
2009-07-13,2893.09,2891.90,2927.23,2884.81,2944448,2687528960.00,1.47,-0.07,-2.03,0.00
2009-07-14,2893.53,2984.65,2986.55,2893.53,3751293,3330448128.00,3.22,3.21,92.75,0.00
2009-07-15,3005.86,3015.64,3039.70,3003.81,3826989,3632500992.00,1.20,1.04,30.99,0.00
2009-07-16,3016.05,2956.13,3019.40,2938.46,3505705,3169587712.00,2.68,-1.97,-59.51,0.00
2009-07-17,2961.69,2979.28,3013.25,2961.69,3426879,2919246848.00,1.74,0.78,23.15,0.00
2009-07-20,2998.36,3043.74,3065.81,2991.89,4420461,4068374016.00,2.48,2.16,64.46,0.00
2009-07-21,3050.03,2957.48,3053.00,2945.61,3808763,3342768384.00,3.53,-2.83,-86.26,0.00
2009-07-22,2950.82,3001.28,3001.28,2949.69,3489865,2967493376.00,1.74,1.48,43.80,0.00
2009-07-23,3005.30,3076.61,3076.61,2987.85,4733403,4158648064.00,2.96,2.51,75.33,0.00
2009-07-24,3077.13,3064.92,3091.59,3010.92,6638382,5619194880.00,2.62,-0.38,-11.69,0.00
2009-07-27,3083.41,3112.32,3129.62,3083.41,5279271,4668091904.00,1.51,1.55,47.40,0.00
2009-07-28,3116.03,3126.28,3138.25,3085.40,3886656,3688207872.00,1.70,0.45,13.96,0.00
2009-07-29,3119.41,2968.73,3143.08,2886.47,4904913,4508434944.00,8.21,-5.04,-157.55,0.00
2009-07-30,2976.32,3058.57,3060.38,2964.44,7420194,6400335872.00,3.23,3.03,89.84,0.00
2009-07-31,3078.59,3107.24,3112.93,3054.07,5065639,4533089792.00,1.92,1.59,48.67,0.00
2009-08-03,3123.25,3131.37,3133.53,3079.56,3790705,3507290880.00,1.74,0.78,24.13,0.00
2009-08-04,3130.32,3096.54,3131.15,3035.62,4115026,3672117248.00,3.05,-1.11,-34.83,0.00
2009-08-05,3102.16,3141.02,3143.23,3069.95,4343421,4011528960.00,2.37,1.44,44.48,0.00
2009-08-06,3126.95,3103.92,3154.74,3077.62,3217775,3302820096.00,2.46,-1.18,-37.10,0.00
2009-08-07,3099.68,3085.30,3133.52,3078.42,3846401,3833997312.00,1.78,-0.60,-18.62,0.00
2009-08-10,3114.52,3137.61,3175.02,3099.72,2831509,3287675136.00,2.44,1.70,52.31,0.00
2009-08-11,3138.09,3132.11,3160.17,3123.68,1924914,2065230464.00,1.16,-0.18,-5.50,0.00
2009-08-12,3123.71,3006.62,3133.05,2996.93,2719166,2488525312.00,4.35,-4.01,-125.49,0.00
2009-08-13,3001.86,3011.22,3034.92,2963.19,2260080,2061721216.00,2.39,0.15,4.60,0.00
