Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,3329.41,3405.03,3405.10,3326.56,204245592,226176352256.00,2.35,1.91,63.97,0.00
2009-07-02,3416.21,3448.23,3448.34,3412.19,237540462,264930050048.00,1.06,1.27,43.20,0.00
2009-07-03,3423.82,3492.69,3493.00,3417.10,239845071,265738059776.00,2.20,1.29,44.46,0.00
2009-07-06,3499.71,3529.03,3531.98,3494.01,266029942,297360097280.00,1.09,1.04,36.34,0.00
2009-07-07,3523.69,3506.25,3551.39,3493.04,259220663,277489156096.00,1.65,-0.65,-22.78,0.00
2009-07-08,3475.93,3527.61,3540.38,3441.62,226382177,251064123392.00,2.82,0.61,21.36,0.00
2009-07-09,3525.85,3580.33,3580.37,3515.83,250838737,279190503424.00,1.83,1.49,52.72,0.00
2009-07-10,3583.80,3587.10,3615.69,3564.73,246259791,272628269056.00,1.42,0.19,6.77,0.00
2009-07-13,3573.36,3570.87,3605.90,3564.43,237008083,264225914880.00,1.16,-0.45,-16.23,0.00
2009-07-14,3584.18,3657.23,3657.23,3584.18,244923408,274867159040.00,2.05,2.42,86.36,0.00
2009-07-15,3669.74,3695.44,3697.53,3669.74,287973590,328073543680.00,0.76,1.04,38.21,0.00
2009-07-16,3715.84,3695.97,3738.60,3685.74,282440657,330761994240.00,1.43,0.01,0.53,0.00
2009-07-17,3693.47,3717.01,3722.17,3677.68,243586435,281009815552.00,1.20,0.57,21.04,0.00
2009-07-20,3729.60,3787.55,3789.93,3716.86,292570702,348790849536.00,1.97,1.90,70.54,0.00
2009-07-21,3797.93,3722.33,3800.32,3715.01,290381763,343892819968.00,2.25,-1.72,-65.22,0.00
2009-07-22,3715.10,3789.36,3789.60,3715.10,249517395,305102061568.00,2.00,1.80,67.03,0.00
2009-07-23,3795.37,3832.99,3833.23,3781.82,249550463,294532579328.00,1.36,1.15,43.63,0.00
2009-07-24,3851.41,3837.23,3864.06,3760.83,276272285,330471636992.00,2.69,0.11,4.24,0.00
2009-07-27,3849.63,3912.73,3912.73,3841.89,280536692,348240084992.00,1.85,1.97,75.50,0.00
2009-07-28,3914.79,3935.96,3936.62,3875.07,304175635,372464025600.00,1.57,0.59,23.23,0.00
2009-07-29,3922.66,3719.35,3939.89,3618.23,337878905,397374717952.00,8.17,-5.50,-216.61,0.00
2009-07-30,3742.38,3784.78,3804.84,3658.46,282174660,325944967168.00,3.94,1.76,65.43,0.00
2009-07-31,3815.85,3891.50,3892.94,3790.01,277514391,328705540096.00,2.72,2.82,106.72,0.00
2009-08-03,3909.54,3952.54,3953.92,3877.12,296001912,357102485504.00,1.97,1.57,61.04,0.00
2009-08-04,3964.89,3963.60,3964.95,3882.82,312248185,378177880064.00,2.08,0.28,11.06,0.00
2009-08-05,3958.95,3933.25,3974.45,3875.37,296910629,361196421120.00,2.50,-0.77,-30.35,0.00
2009-08-06,3901.33,3860.39,3937.27,3796.61,261396312,327115243520.00,3.58,-1.85,-72.86,0.00
2009-08-07,3852.91,3748.77,3883.55,3732.92,226399191,277316468736.00,3.90,-2.89,-111.62,0.00
2009-08-10,3785.01,3751.52,3811.06,3687.69,185855450,229288968192.00,3.29,0.07,2.75,0.00
2009-08-11,3765.28,3768.22,3779.62,3718.91,152980897,185676054528.00,1.62,0.45,16.70,0.00
2009-08-12,3757.98,3598.60,3757.98,3591.19,196850133,235989204992.00,4.43,-4.50,-169.62,0.00
2009-08-13,3599.39,3630.67,3640.85,3536.38,169729030,205457031168.00,2.90,0.89,32.07,0.00
2009-08-14,3628.87,3509.31,3643.13,3509.29,184295931,219005616128.00,3.69,-3.34,-121.36,0.00
2009-08-17,3450.03,3289.61,3478.59,3287.43,182926806,203987484672.00,5.45,-6.26,-219.70,0.00
2009-08-18,3256.79,3328.59,3342.77,3234.05,150987815,165673500672.00,3.30,1.18,38.98,0.00
2009-08-19,3332.94,3162.99,3340.32,3131.58,167803610,182802595840.00,6.27,-4.98,-165.60,0.00
2009-08-20,3166.75,3293.52,3296.06,3166.75,163553967,183560880128.00,4.09,4.13,130.53,0.00
2009-08-21,3284.50,3364.88,3369.69,3263.07,186556688,206912176128.00,3.24,2.17,71.36,0.00
2009-08-24,3379.81,3407.26,3419.85,3342.61,185315620,213486387200.00,2.30,1.26,42.38,0.00
2009-08-25,3389.16,3305.29,3389.16,3210.46,214274403,241267310592.00,5.24,-2.99,-101.97,0.00
2009-08-26,3280.29,3382.36,3412.92,3261.55,196422322,221181706240.00,4.58,2.33,77.07,0.00
2009-08-27,3363.08,3382.80,3431.65,3333.10,205110490,223514640384.00,2.91,0.01,0.44,0.00
2009-08-28,3375.66,3274.50,3389.74,3257.85,178147033,198686457856.00,3.90,-3.20,-108.30,0.00
2009-08-31,3227.93,3046.57,3227.93,3042.83,174185895,188469329920.00,5.65,-6.96,-227.93,0.00
2009-09-01,3016.57,3047.33,3109.23,3001.21,145266309,154220216320.00,3.55,0.02,0.76,0.00
2009-09-02,3027.72,3085.92,3099.53,3017.44,123369174,131645652992.00,2.69,1.27,38.59,0.00
2009-09-03,3091.69,3249.00,3256.29,3087.18,188104914,204923846656.00,5.48,5.28,163.08,0.00
2009-09-04,3249.85,3285.36,3302.53,3233.82,189472312,213011300352.00,2.11,1.12,36.36,0.00
2009-09-07,3305.39,3318.57,3364.56,3288.39,195552642,223916851200.00,2.32,1.01,33.21,0.00
2009-09-08,3298.75,3384.54,3384.54,3262.06,191314391,225637056512.00,3.69,1.99,65.97,0.00
2009-09-09,3397.86,3407.61,3414.31,3353.49,198608928,241965219840.00,1.80,0.68,23.07,0.00
2009-09-10,3391.48,3374.45,3416.86,3359.20,160880640,186429259776.00,1.69,-0.97,-33.16,0.00
2009-09-11,3363.37,3448.05,3461.11,3362.91,182661334,212758577152.00,2.91,2.18,73.60,0.00
2009-09-14,3458.70,3516.09,3522.27,3453.92,218727973,250588200960.00,1.98,1.97,68.04,0.00
2009-09-15,3521.08,3534.35,3555.51,3490.55,220252777,252642459648.00,1.85,0.52,18.26,0.00
2009-09-16,3523.05,3504.80,3535.74,3449.61,223404409,261113479168.00,2.44,-0.84,-29.55,0.00
2009-09-17,3517.97,3575.06,3584.90,3517.97,239510984,274012733440.00,1.91,2.00,70.26,0.00
2009-09-18,3581.68,3452.04,3589.27,3421.53,255923516,287070552064.00,4.69,-3.44,-123.02,0.00
2009-09-21,3415.28,3474.74,3476.46,3342.31,186277938,214327459840.00,3.89,0.66,22.70,0.00
2009-09-22,3462.77,3391.50,3504.20,3391.50,187557906,216627494912.00,3.24,-2.40,-83.24,0.00
2009-09-23,3386.67,3307.57,3418.52,3287.73,164411907,186044825600.00,3.86,-2.47,-83.93,0.00
2009-09-24,3287.67,3312.94,3357.61,3220.54,153001290,171102814208.00,4.14,0.16,5.37,0.00
2009-09-25,3292.37,3288.06,3323.58,3261.13,113239001,125067616256.00,1.89,-0.75,-24.88,0.00
2009-09-28,3296.26,3195.53,3322.93,3181.67,108220309,117759000576.00,4.30,-2.81,-92.53,0.00
2009-09-29,3195.68,3172.91,3210.56,3119.27,110989416,115120488448.00,2.86,-0.71,-22.62,0.00
2009-09-30,3194.39,3205.93,3238.91,3192.03,98760726,107566325760.00,1.48,1.04,33.02,0.00
2009-10-09,3274.92,3371.68,3371.85,3270.15,127483841,144514842624.00,3.17,5.17,165.75,0.00
2009-10-12,3387.37,3368.12,3406.90,3359.63,132912683,154798817280.00,1.40,-0.11,-3.56,0.00
2009-10-13,3360.59,3420.09,3420.82,3355.84,120770001,137565814784.00,1.93,1.54,51.97,0.00
2009-10-14,3430.71,3453.41,3499.35,3427.36,189607138,215892738048.00,2.10,0.97,33.32,0.00
2009-10-15,3480.67,3465.11,3507.99,3447.70,149164175,171641257984.00,1.75,0.34,11.70,0.00
2009-10-16,3474.82,3470.96,3491.94,3414.46,141825321,165567021056.00,2.24,0.17,5.85,0.00
2009-10-19,3469.49,3560.31,3560.31,3463.78,187698567,225624145920.00,2.78,2.57,89.35,0.00
2009-10-20,3584.38,3612.52,3612.52,3573.49,218789885,263024050176.00,1.10,1.47,52.21,0.00
2009-10-21,3608.82,3598.82,3645.21,3590.72,208938627,244758675456.00,1.51,-0.38,-13.70,0.00
2009-10-22,3590.98,3588.31,3616.92,3575.68,168722375,198112018432.00,1.15,-0.29,-10.51,0.00
2009-10-23,3595.01,3650.80,3672.45,3595.01,217884764,253456203776.00,2.16,1.74,62.49,0.00
2009-10-26,3659.31,3654.65,3670.35,3621.19,184099134,217866715136.00,1.35,0.11,3.85,0.00
2009-10-27,3625.45,3551.42,3630.45,3551.19,191018551,228009197568.00,2.17,-2.82,-103.23,0.00
2009-10-28,3539.22,3573.12,3574.48,3497.15,159407268,186149666816.00,2.18,0.61,21.70,0.00
2009-10-29,3509.39,3491.61,3535.16,3483.36,168790759,189835575296.00,1.45,-2.28,-81.51,0.00
