Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,2390.08,2456.96,2458.61,2387.49,62446361,66928803949.00,2.96,2.39,57.30,0.00
2009-07-02,2463.71,2494.60,2499.04,2463.71,74487506,83793654944.00,1.44,1.53,37.64,0.00
2009-07-03,2473.95,2513.20,2514.22,2469.44,69172746,78900065583.00,1.80,0.75,18.60,0.00
2009-07-06,2515.43,2550.00,2550.60,2515.43,86855590,94075017641.00,1.40,1.46,36.80,0.00
2009-07-07,2546.08,2520.22,2561.64,2510.81,84182636,88417048842.00,1.99,-1.17,-29.78,0.00
2009-07-08,2494.11,2501.47,2517.76,2442.83,73242885,78860366346.00,2.97,-0.74,-18.75,0.00
2009-07-09,2494.66,2536.35,2536.62,2484.86,68872625,77691271349.00,2.07,1.39,34.88,0.00
2009-07-10,2538.02,2526.69,2549.63,2513.93,63212663,71548102226.00,1.41,-0.38,-9.66,0.00
2009-07-13,2511.71,2488.75,2524.96,2487.58,61586314,68025143000.00,1.48,-1.50,-37.94,0.00
2009-07-14,2498.30,2569.65,2569.88,2498.30,67240138,76404685348.00,2.88,3.25,80.90,0.00
2009-07-15,2578.26,2604.33,2609.27,2578.26,84975809,95900019748.00,1.21,1.35,34.68,0.00
2009-07-16,2622.12,2620.15,2650.79,2601.27,81025210,94538201335.00,1.90,0.61,15.82,0.00
2009-07-17,2619.93,2630.58,2641.49,2604.78,68347869,81262580500.00,1.40,0.40,10.43,0.00
2009-07-20,2641.58,2682.25,2688.23,2626.93,86836770,103543092265.00,2.33,1.96,51.67,0.00
2009-07-21,2692.81,2642.63,2703.59,2638.84,82157994,98797187930.00,2.41,-1.48,-39.62,0.00
2009-07-22,2642.50,2692.13,2693.31,2642.50,72483061,91757935732.00,1.92,1.87,49.50,0.00
2009-07-23,2697.16,2737.54,2737.73,2680.22,75770739,91852241934.00,2.14,1.69,45.41,0.00
2009-07-24,2749.97,2757.19,2762.04,2695.75,84183540,102862112804.00,2.42,0.72,19.65,0.00
2009-07-27,2763.25,2812.84,2813.11,2763.13,89984525,108026530785.00,1.81,2.02,55.65,0.00
2009-07-28,2812.13,2813.76,2815.38,2782.41,93028406,108029109569.00,1.17,0.03,0.92,0.00
