Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2010-02-09,2799.23,2818.83,2825.85,2796.18,9852912,12302044202.00,0.00,0.00,0.00,0.00
2010-02-10,2837.94,2853.17,2853.59,2829.44,10277567,14305401430.00,0.86,1.22,34.34,0.00
2010-02-11,2857.13,2866.99,2880.48,2848.23,11352666,13677106647.00,1.13,0.48,13.82,0.00
2010-02-12,2879.21,2898.35,2898.78,2873.11,11451086,13707936858.00,0.90,1.09,31.36,0.00
2010-02-22,2897.42,2882.12,2912.93,2880.60,11637968,14739193392.00,1.12,-0.56,-16.23,0.00
2010-02-23,2877.15,2854.40,2877.15,2808.34,15254836,25019180808.00,2.39,-0.96,-27.72,0.00
2010-02-24,2832.85,2891.46,2893.17,2823.66,16106746,20746312409.00,2.44,1.30,37.06,0.00
2010-02-25,2895.96,2921.34,2924.11,2891.23,21867208,27308068070.00,1.14,1.03,29.88,0.00
2010-02-26,2913.99,2911.66,2927.41,2903.20,15513406,20147516602.00,0.83,-0.33,-9.68,0.00
2010-03-01,2915.57,2947.71,2951.61,2911.61,19121056,24198284521.00,1.37,1.24,36.05,0.00
2010-03-02,2949.78,2934.50,2957.23,2922.88,16027810,20441778401.00,1.17,-0.45,-13.21,0.00
2010-03-03,2934.88,2948.89,2949.80,2913.61,17304219,21970724570.00,1.23,0.49,14.39,0.00
2010-03-04,2952.30,2882.69,2962.64,2876.56,20727179,25510740112.00,2.92,-2.24,-66.20,0.00
2010-03-05,2887.60,2893.24,2904.49,2875.84,14379946,17744425149.00,0.99,0.37,10.55,0.00
2010-03-08,2899.29,2911.39,2917.80,2892.32,12908080,15957667219.00,0.88,0.63,18.15,0.00
2010-03-09,2917.12,2928.18,2944.42,2893.46,17997668,22844688967.00,1.75,0.58,16.79,0.00
2010-03-10,2928.98,2909.93,2946.49,2898.81,16299879,21080871997.00,1.63,-0.62,-18.25,0.00
2010-03-11,2911.78,2910.61,2924.25,2885.58,13947468,18325344481.00,1.33,0.02,0.68,0.00
2010-03-12,2911.08,2877.86,2917.44,2877.00,12532553,16058049274.00,1.39,-1.13,-32.75,0.00
2010-03-15,2878.12,2841.04,2881.58,2831.20,11947423,15471162125.00,1.75,-1.28,-36.82,0.00
2010-03-16,2840.14,2857.85,2858.63,2829.92,9921061,13112599996.00,1.01,0.59,16.81,0.00
2010-03-17,2863.87,2917.76,2918.31,2856.35,16210570,22215519891.00,2.17,2.10,59.91,0.00
2010-03-18,2920.71,2908.51,2932.11,2898.30,19368327,24051543025.00,1.16,-0.32,-9.25,0.00
2010-03-19,2909.06,2923.23,2925.70,2888.85,16105839,20302689034.00,1.27,0.51,14.72,0.00
2010-03-22,2925.30,2929.07,2938.69,2915.56,18472354,23150477728.00,0.79,0.20,5.84,0.00
2010-03-23,2930.67,2896.90,2931.79,2894.58,16214383,20398977996.00,1.27,-1.10,-32.17,0.00
2010-03-24,2902.71,2893.88,2917.22,2887.85,16046556,18954407773.00,1.01,-0.10,-3.02,0.00
2010-03-25,2887.27,2858.50,2887.27,2848.20,16088846,19134943260.00,1.35,-1.22,-35.38,0.00
2010-03-26,2853.97,2892.69,2903.01,2846.44,16886026,20724058305.00,1.98,1.20,34.19,0.00
2010-03-29,2907.38,2961.87,2969.06,2903.69,29490621,34810817459.00,2.26,2.39,69.18,0.00
2010-03-30,2961.49,2966.05,2971.46,2950.64,17235571,22479589376.00,0.70,0.14,4.18,0.00
2010-03-31,2968.25,2947.37,2970.97,2939.47,17868693,22954446480.00,1.06,-0.63,-18.68,0.00
2010-04-01,2949.60,2982.68,2983.68,2949.60,22290459,28123210146.00,1.16,1.20,35.31,0.00
2010-04-02,2991.10,2989.73,2994.88,2976.00,22296436,28611187712.00,0.63,0.24,7.05,0.00
2010-04-06,3000.83,2984.34,3007.83,2969.56,19895422,26167135701.00,1.28,-0.18,-5.39,0.00
2010-04-07,2983.30,2970.65,2988.34,2955.51,16911139,22852882339.00,1.10,-0.46,-13.69,0.00
2010-04-08,2965.61,2935.14,2965.63,2923.34,19223131,26455447109.00,1.42,-1.20,-35.51,0.00
2010-04-09,2937.97,2962.16,2962.78,2936.24,17729178,25782446069.00,0.90,0.92,27.02,0.00
2010-04-12,2968.76,2949.61,2973.79,2930.31,24869946,33291247661.00,1.47,-0.42,-12.55,0.00
2010-04-13,2950.44,2996.16,3000.44,2937.79,27198658,39447919217.00,2.12,1.58,46.55,0.00
2010-04-14,2996.80,2993.17,3000.14,2976.47,18658733,25021826524.00,0.79,-0.10,-2.99,0.00
2010-04-15,2995.68,2988.44,3006.76,2963.05,20183190,27782414784.00,1.46,-0.16,-4.73,0.00
2010-04-16,2983.67,2957.80,2983.67,2950.94,14866881,19464895159.00,1.10,-1.03,-30.64,0.00
2010-04-19,2925.92,2817.53,2925.92,2812.30,29257646,34116584706.00,3.84,-4.74,-140.27,0.00
2010-04-20,2820.14,2812.97,2834.79,2780.61,21228542,26397672120.00,1.92,-0.16,-4.56,0.00
2010-04-21,2817.82,2859.69,2861.50,2800.29,21641985,28650217614.00,2.18,1.66,46.72,0.00
2010-04-22,2845.57,2820.35,2845.57,2807.27,22979752,28273061703.00,1.34,-1.38,-39.34,0.00
2010-04-23,2818.68,2805.87,2836.75,2787.45,19081914,23612284679.00,1.75,-0.51,-14.48,0.00
2010-04-26,2810.00,2795.36,2816.86,2792.06,16724895,21803661464.00,0.88,-0.37,-10.51,0.00
2010-04-27,2789.43,2746.98,2789.43,2706.68,22850551,26845175377.00,2.96,-1.73,-48.38,0.00
2010-04-28,2725.60,2741.57,2760.65,2709.33,14295502,18133688406.00,1.87,-0.20,-5.41,0.00
2010-04-29,2755.38,2717.51,2768.97,2716.65,14864284,19128082955.00,1.91,-0.88,-24.06,0.00
2010-04-30,2721.12,2739.91,2740.77,2688.29,18952906,22860389385.00,1.93,0.82,22.40,0.00
2010-05-04,2685.24,2694.47,2723.97,2673.71,13635199,15946696603.00,1.83,-1.66,-45.44,0.00
2010-05-05,2658.13,2700.45,2701.36,2618.34,20489168,26566623573.00,3.08,0.22,5.98,0.00
2010-05-06,2682.55,2586.49,2682.55,2583.53,18888610,23644991050.00,3.67,-4.22,-113.96,0.00
2010-05-07,2537.17,2536.97,2590.53,2519.90,20054061,23836349383.00,2.73,-1.91,-49.52,0.00
2010-05-10,2540.92,2559.64,2570.67,2510.19,16177329,20145857190.00,2.38,0.89,22.67,0.00
2010-05-11,2610.39,2517.94,2614.71,2509.22,17234775,20756721052.00,4.12,-1.63,-41.70,0.00
2010-05-12,2503.92,2540.67,2546.27,2484.10,17221801,20167128344.00,2.47,0.90,22.73,0.00
2010-05-13,2540.30,2593.56,2593.98,2537.75,18067065,20664443549.00,2.21,2.08,52.89,0.00
2010-05-14,2573.28,2576.72,2594.41,2560.13,13425219,16215079489.00,1.32,-0.65,-16.84,0.00
2010-05-17,2543.42,2441.67,2543.42,2439.63,17659200,19447670904.00,4.03,-5.24,-135.05,0.00
2010-05-18,2442.67,2485.13,2493.86,2415.92,18326571,19377837682.00,3.19,1.78,43.46,0.00
2010-05-19,2466.08,2468.26,2508.28,2439.59,14900191,15502596900.00,2.76,-0.68,-16.87,0.00
2010-05-20,2450.37,2440.21,2494.70,2434.18,13547160,15134996055.00,2.45,-1.14,-28.05,0.00
2010-05-21,2381.04,2466.68,2468.43,2370.93,18303073,18689233932.00,4.00,1.08,26.47,0.00
2010-05-24,2479.35,2547.14,2560.33,2479.35,24697810,26470461304.00,3.28,3.26,80.46,0.00
2010-05-25,2526.96,2487.92,2531.32,2475.47,18364496,20155530024.00,2.19,-2.32,-59.22,0.00
2010-05-26,2492.59,2493.19,2511.14,2476.93,13015261,13772224114.00,1.38,0.21,5.27,0.00
2010-05-27,2484.33,2524.19,2532.27,2446.91,17293350,17837953459.00,3.42,1.24,31.00,0.00
2010-05-28,2546.67,2520.99,2554.36,2507.41,17108841,17853148369.00,1.86,-0.13,-3.20,0.00
2010-05-31,2508.35,2462.99,2528.10,2460.79,15606776,15929787410.00,2.67,-2.30,-58.00,0.00
2010-06-01,2447.27,2440.06,2470.00,2411.64,15639185,15398473969.00,2.37,-0.93,-22.93,0.00
2010-06-02,2428.12,2450.77,2451.55,2405.53,15178083,14248998405.00,1.89,0.44,10.71,0.00
2010-06-03,2458.70,2438.28,2478.01,2437.01,13840690,14441237771.00,1.67,-0.51,-12.49,0.00
2010-06-04,2425.65,2444.28,2447.32,2413.93,11765770,12693375820.00,1.37,0.25,6.00,0.00
2010-06-07,2403.18,2412.57,2426.84,2387.74,13403223,14389092980.00,1.60,-1.30,-31.71,0.00
2010-06-08,2410.47,2404.69,2427.47,2383.07,12253490,13565407687.00,1.84,-0.33,-7.88,0.00
2010-06-09,2414.96,2471.27,2477.82,2389.04,19442541,21318316865.00,3.69,2.77,66.58,0.00
2010-06-10,2447.22,2443.72,2465.80,2438.52,13441920,14887383717.00,1.10,-1.11,-27.55,0.00
2010-06-11,2457.15,2450.21,2473.19,2446.39,11967037,13825055640.00,1.10,0.27,6.49,0.00
2010-06-17,2469.91,2435.51,2473.49,2434.68,9299277,10637591837.00,1.58,-0.60,-14.70,0.00
2010-06-18,2433.38,2399.55,2446.16,2393.77,12738055,13988162643.00,2.15,-1.48,-35.96,0.00
2010-06-21,2399.45,2472.70,2475.03,2388.30,18301146,20350705069.00,3.61,3.05,73.15,0.00
2010-06-22,2465.43,2472.73,2480.75,2456.34,11252946,12399067059.00,0.99,0.00,0.03,0.00
2010-06-23,2459.17,2450.85,2476.83,2431.06,10058798,11432586754.00,1.85,-0.88,-21.88,0.00
2010-06-24,2444.90,2451.19,2473.70,2437.37,9344832,10543059273.00,1.48,0.01,0.34,0.00
2010-06-25,2441.43,2443.91,2459.08,2425.35,10521948,11158899108.00,1.38,-0.30,-7.28,0.00
2010-06-28,2440.83,2434.12,2459.32,2427.47,9115521,9665536226.00,1.30,-0.40,-9.79,0.00
2010-06-29,2435.05,2343.06,2440.29,2342.09,17667303,16256203150.00,4.03,-3.74,-91.06,0.00
2010-06-30,2328.18,2332.09,2336.62,2309.68,12609557,11070175124.00,1.15,-0.47,-10.97,0.00
2010-07-01,2327.17,2312.12,2343.66,2309.70,10920795,10104978344.00,1.46,-0.86,-19.97,0.00
2010-07-02,2310.80,2331.58,2337.22,2274.13,15679074,13472387593.00,2.73,0.84,19.46,0.00
2010-07-05,2309.40,2314.38,2329.34,2288.95,10027111,8901798074.00,1.73,-0.74,-17.20,0.00
2010-07-06,2307.65,2348.67,2349.31,2306.76,12617500,11054513557.00,1.84,1.48,34.29,0.00
2010-07-07,2346.80,2363.11,2363.78,2335.56,10316473,9563372228.00,1.20,0.61,14.44,0.00
2010-07-08,2373.05,2357.16,2376.45,2348.69,10003302,9246457162.00,1.17,-0.25,-5.95,0.00
2010-07-09,2359.38,2405.42,2425.19,2342.56,17576629,17080273658.00,3.51,2.05,48.26,0.00
2010-07-12,2403.80,2422.34,2430.91,2392.13,18584335,19906593787.00,1.61,0.70,16.92,0.00
2010-07-13,2398.17,2384.41,2398.17,2373.33,13146036,13030149107.00,1.03,-1.57,-37.93,0.00
2010-07-14,2389.21,2401.64,2428.03,2389.21,14519304,14608765990.00,1.63,0.72,17.23,0.00
2010-07-15,2399.20,2366.04,2420.74,2365.47,12188910,11588631634.00,2.30,-1.48,-35.60,0.00
2010-07-16,2356.83,2363.37,2367.29,2333.21,10775266,10083401885.00,1.44,-0.11,-2.67,0.00
2010-07-19,2341.62,2404.99,2411.02,2335.45,15115930,15108627150.00,3.20,1.76,41.62,0.00
2010-07-20,2410.24,2445.26,2450.30,2410.24,22742217,22072843210.00,1.67,1.67,40.27,0.00
2010-07-21,2446.72,2458.02,2473.79,2435.83,21855306,19768096655.00,1.55,0.52,12.76,0.00
2010-07-22,2447.99,2476.98,2478.83,2444.20,19260213,17879031990.00,1.41,0.77,18.96,0.00
2010-07-23,2481.08,2483.06,2494.09,2466.59,20723187,19849087664.00,1.11,0.25,6.08,0.00
2010-07-26,2487.54,2493.99,2498.59,2468.90,15174912,14937397344.00,1.20,0.44,10.93,0.00
2010-07-27,2489.34,2484.44,2497.75,2475.69,15060586,14470976499.00,0.88,-0.38,-9.55,0.00
2010-07-28,2487.67,2537.99,2541.00,2475.68,27274559,24435312366.00,2.63,2.16,53.55,0.00
2010-07-29,2539.94,2553.73,2564.01,2533.12,28520166,26523424006.00,1.22,0.62,15.74,0.00
2010-07-30,2546.31,2544.31,2549.14,2525.73,16464600,16100085291.00,0.92,-0.37,-9.42,0.00
2010-08-02,2542.86,2577.22,2580.55,2540.45,20009769,19493232328.00,1.58,1.29,32.91,0.00
2010-08-03,2581.85,2533.87,2583.83,2532.44,23404037,22441209408.00,1.99,-1.68,-43.35,0.00
2010-08-04,2528.25,2537.53,2543.20,2494.87,20257198,18822589863.00,1.91,0.14,3.66,0.00
2010-08-05,2535.36,2517.24,2535.91,2504.93,20286284,20242211826.00,1.22,-0.80,-20.29,0.00
2010-08-06,2513.38,2547.38,2548.15,2490.70,21326383,21330359467.00,2.28,1.20,30.14,0.00
2010-08-09,2543.39,2552.12,2559.26,2533.31,20569757,21097972126.00,1.02,0.19,4.74,0.00
2010-08-10,2552.62,2483.73,2558.12,2482.26,23400194,22743564109.00,2.97,-2.68,-68.39,0.00
2010-08-11,2475.76,2496.68,2506.71,2475.76,15347826,15475965309.00,1.25,0.52,12.95,0.00
2010-08-12,2477.05,2467.44,2499.01,2463.30,15811690,16806891192.00,1.43,-1.17,-29.24,0.00
2010-08-13,2465.77,2492.77,2493.90,2452.32,15007544,15332600065.00,1.69,1.03,25.33,0.00
2010-08-16,2487.78,2541.73,2545.46,2480.38,21833079,21404674101.00,2.61,1.96,48.96,0.00
2010-08-17,2542.37,2549.44,2554.78,2533.47,21561527,21907293951.00,0.84,0.30,7.71,0.00
