Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,3943.03,4006.10,4006.10,3943.03,55272426,58457780224.00,1.60,1.37,54.30,0.00
2009-07-02,4021.53,4044.14,4044.14,4009.36,66404838,70483804160.00,0.87,0.95,38.04,0.00
2009-07-03,4018.58,4088.48,4088.48,4014.23,67692403,72420638720.00,1.84,1.10,44.34,0.00
2009-07-06,4098.23,4106.44,4112.66,4065.68,70126442,77290299392.00,1.15,0.44,17.96,0.00
2009-07-07,4100.96,4103.09,4131.23,4074.39,66083463,70671646720.00,1.38,-0.08,-3.35,0.00
2009-07-08,4077.39,4151.43,4156.75,4066.26,58247400,63015698432.00,2.21,1.18,48.34,0.00
2009-07-09,4154.26,4226.10,4226.10,4149.52,73668510,80894738432.00,1.84,1.80,74.67,0.00
2009-07-10,4232.20,4258.32,4286.32,4232.20,76535053,81646575616.00,1.28,0.76,32.22,0.00
2009-07-13,4249.03,4291.60,4324.19,4249.03,71165678,78116519936.00,1.77,0.78,33.28,0.00
2009-07-14,4314.38,4366.03,4366.03,4311.62,69108928,76015599616.00,1.27,1.73,74.43,0.00
2009-07-15,4379.92,4411.21,4416.36,4379.49,81217491,89703464960.00,0.84,1.03,45.18,0.00
2009-07-16,4427.44,4393.68,4441.81,4383.22,81920786,93002350592.00,1.33,-0.40,-17.53,0.00
2009-07-17,4392.95,4428.61,4436.13,4389.24,72524544,81528602624.00,1.07,0.80,34.93,0.00
2009-07-20,4445.25,4521.70,4521.70,4443.17,88116017,101592358912.00,1.77,2.10,93.09,0.00
2009-07-21,4530.54,4419.83,4530.54,4419.11,85621791,98822807552.00,2.46,-2.25,-101.87,0.00
2009-07-22,4411.66,4506.26,4506.26,4411.66,75108920,88085749760.00,2.14,1.96,86.43,0.00
2009-07-23,4513.49,4543.61,4546.23,4511.44,72364407,83562070016.00,0.77,0.83,37.35,0.00
2009-07-24,4561.50,4533.94,4564.82,4440.45,77364562,89864806400.00,2.74,-0.21,-9.67,0.00
2009-07-27,4547.76,4622.34,4622.34,4547.76,76002250,92178079744.00,1.64,1.95,88.40,0.00
2009-07-28,4624.59,4675.00,4675.00,4593.91,84379905,102018416640.00,1.75,1.14,52.66,0.00
2009-07-29,4661.66,4368.10,4661.85,4349.52,88353120,101288067072.00,6.68,-6.56,-306.90,0.00
2009-07-30,4388.29,4423.96,4440.01,4277.40,66699651,77289684992.00,3.72,1.28,55.86,0.00
2009-07-31,4452.91,4574.98,4575.36,4449.26,72755706,85482684416.00,2.85,3.41,151.02,0.00
2009-08-03,4596.52,4698.88,4700.29,4596.52,82858271,97708523520.00,2.27,2.71,123.90,0.00
2009-08-04,4708.24,4755.33,4755.33,4661.51,88058847,106320527360.00,2.00,1.20,56.45,0.00
2009-08-05,4749.20,4754.70,4787.62,4661.02,81240176,100550967296.00,2.66,-0.01,-0.63,0.00
2009-08-06,4718.98,4687.00,4772.73,4627.60,75807055,95423168512.00,3.05,-1.42,-67.70,0.00
2009-08-07,4674.02,4536.97,4703.97,4534.50,63414177,78389510144.00,3.62,-3.20,-150.03,0.00
2009-08-10,4588.66,4587.49,4628.67,4505.63,52883516,66160787456.00,2.71,1.11,50.52,0.00
2009-08-11,4599.58,4599.75,4610.61,4551.22,40911102,50472083456.00,1.29,0.27,12.26,0.00
2009-08-12,4586.41,4386.72,4586.41,4386.03,52084657,63534358528.00,4.36,-4.63,-213.03,0.00
