Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2010-01-04,3223.49,3165.04,3229.22,3164.68,29802704,35368120768.00,0.00,0.00,0.00,0.00
2010-01-05,3176.26,3193.66,3208.47,3131.95,36724002,46074849284.00,2.42,0.90,28.62,0.00
2010-01-06,3185.03,3163.71,3205.83,3163.12,33764173,44426323646.00,1.34,-0.94,-29.95,0.00
2010-01-07,3163.36,3095.07,3178.58,3079.04,34673753,43502364001.00,3.15,-2.17,-68.64,0.00
2010-01-08,3083.62,3102.29,3105.98,3057.97,25748788,32739883026.00,1.55,0.23,7.22,0.00
2010-01-11,3221.94,3101.77,3221.94,3087.41,41538350,49620016476.00,4.34,-0.02,-0.52,0.00
2010-01-12,3093.66,3147.55,3148.74,3052.13,43851122,52659860122.00,3.11,1.48,45.78,0.00
2010-01-13,3066.72,3024.41,3090.90,3019.54,55662973,66441614877.00,2.27,-3.91,-123.14,0.00
2010-01-14,3037.88,3061.43,3062.41,3012.24,37225940,45703489862.00,1.66,1.22,37.02,0.00
2010-01-15,3060.06,3071.35,3090.32,3037.76,31662846,39439505038.00,1.72,0.32,9.92,0.00
2010-01-18,3059.23,3087.93,3088.99,3049.55,35757889,43092994857.00,1.28,0.54,16.58,0.00
2010-01-19,3092.50,3100.39,3121.64,3088.90,35375135,44043283890.00,1.06,0.40,12.46,0.00
2010-01-20,3106.96,2999.86,3110.43,2993.91,43297806,51050310518.00,3.76,-3.24,-100.53,0.00
2010-01-21,3004.93,3022.82,3039.53,2985.53,33250457,40127294546.00,1.80,0.77,22.96,0.00
2010-01-22,2984.40,3021.19,3047.16,2938.42,44784356,51868300938.00,3.60,-0.05,-1.63,0.00
2010-01-25,2985.88,2967.47,3023.18,2965.55,23693950,26809012947.00,1.91,-1.78,-53.72,0.00
2010-01-26,2968.23,2908.23,2980.92,2889.30,26982626,30814879393.00,3.09,-2.00,-59.24,0.00
2010-01-27,2908.52,2856.89,2918.07,2846.06,24869646,28447074405.00,2.48,-1.77,-51.34,0.00
2010-01-28,2856.74,2847.81,2867.33,2827.09,21289767,23974071727.00,1.41,-0.32,-9.08,0.00
2010-01-29,2834.34,2844.04,2883.22,2823.21,21502781,24734471227.00,2.11,-0.13,-3.77,0.00
2010-02-01,2837.32,2800.78,2837.51,2765.11,23836222,26959710430.00,2.55,-1.52,-43.26,0.00
2010-02-02,2819.26,2803.80,2861.17,2799.71,22383710,25980500390.00,2.19,0.11,3.02,0.00
2010-02-03,2817.62,2885.75,2886.63,2761.53,29921548,34239403084.00,4.46,2.92,81.95,0.00
2010-02-04,2860.55,2869.41,2889.73,2846.08,22446341,26181490742.00,1.51,-0.57,-16.34,0.00
2010-02-05,2808.02,2808.63,2832.53,2789.38,22167269,25046475018.00,1.50,-2.12,-60.78,0.00
2010-02-08,2808.14,2794.29,2822.94,2781.88,14299318,16641769711.00,1.46,-0.51,-14.34,0.00
2010-02-09,2792.16,2818.10,2824.39,2789.89,17954432,18056465832.00,1.23,0.85,23.81,0.00
