Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-10-09,3078.75,3163.71,3164.03,3071.27,56871040,76061663011.00,3.09,5.29,158.91,0.20
2009-10-12,3181.58,3151.63,3193.59,3151.26,58961960,81562328647.00,1.34,-0.38,-12.08,0.21
2009-10-13,3144.02,3198.52,3199.92,3140.50,50713704,68577125621.00,1.89,1.49,46.89,0.18
2009-10-14,3209.06,3227.40,3276.55,3204.31,80978120,111183227114.00,2.26,0.90,28.88,0.29
2009-10-15,3258.55,3239.64,3287.63,3227.09,60562010,85391959068.00,1.88,0.38,12.24,0.22
2009-10-16,3250.10,3241.71,3268.43,3188.43,55636255,78892050311.00,2.47,0.06,2.07,0.20
2009-10-19,3238.85,3329.16,3330.79,3231.81,77683143,113841454115.00,3.05,2.70,87.45,0.28
2009-10-20,3355.36,3377.57,3379.63,3343.02,89426278,128508372174.00,1.10,1.45,48.41,0.32
2009-10-21,3375.03,3369.28,3414.66,3358.55,83488940,117445160682.00,1.66,-0.25,-8.29,0.30
2009-10-22,3364.15,3347.32,3381.15,3341.42,60936583,87978516122.00,1.18,-0.65,-21.96,0.22
2009-10-23,3354.98,3413.25,3436.39,3354.98,86725429,120908995107.00,2.43,1.97,65.93,0.31
2009-10-26,3421.70,3414.24,3432.90,3385.44,68442524,97800974844.00,1.39,0.03,0.99,0.24
2009-10-27,3384.29,3314.72,3392.10,3314.32,74209551,105228807264.00,2.28,-2.91,-99.52,0.27
2009-10-28,3303.77,3329.33,3337.17,3258.27,62594849,86228533019.00,2.38,0.44,14.61,0.22
2009-10-29,3265.19,3247.05,3291.18,3239.00,61305354,84414939041.00,1.57,-2.47,-82.28,0.22
2009-10-30,3305.38,3280.37,3329.54,3276.32,60647062,84226415461.00,1.64,1.03,33.32,0.22
2009-11-02,3205.83,3392.80,3394.72,3198.31,81981158,110679455347.00,5.99,3.43,112.43,0.29
2009-11-03,3402.53,3435.43,3447.48,3397.25,83791098,115935434869.00,1.48,1.26,42.63,0.30
2009-11-04,3443.52,3453.89,3476.34,3415.22,86065273,117780698755.00,1.78,0.54,18.46,0.31
2009-11-05,3458.86,3464.32,3471.83,3432.26,80647784,103539079575.00,1.15,0.30,10.43,0.29
2009-11-06,3491.07,3483.02,3506.03,3474.36,92190315,124138421517.00,0.91,0.54,18.70,0.33
2009-11-09,3487.11,3495.79,3495.89,3452.61,78050904,108916000934.00,1.24,0.37,12.77,0.28
2009-11-10,3520.40,3503.78,3532.19,3501.50,84300987,116073645890.00,0.88,0.23,7.99,0.30
2009-11-11,3500.59,3495.67,3514.83,3468.86,72626321,100494402438.00,1.31,-0.23,-8.11,0.26
2009-11-12,3506.95,3499.99,3529.06,3487.68,79962661,106569499622.00,1.18,0.12,4.32,0.29
2009-11-13,3489.54,3518.72,3518.89,3445.36,91210171,122356578945.00,2.10,0.54,18.73,0.33
2009-11-16,3541.05,3625.80,3625.89,3541.05,123157323,170544813035.00,2.41,3.04,107.08,0.44
2009-11-17,3644.96,3628.35,3649.42,3619.99,97391368,135058674684.00,0.81,0.07,2.55,0.35
2009-11-18,3633.85,3630.23,3652.81,3612.79,89226283,119034890321.00,1.10,0.05,1.88,0.32
2009-11-19,3638.07,3642.44,3653.90,3604.61,94940095,125514316335.00,1.36,0.34,12.21,0.34
2009-11-20,3630.58,3631.01,3658.21,3597.31,94750751,127585253384.00,1.67,-0.31,-11.43,0.34
2009-11-23,3636.53,3665.51,3666.27,3628.20,93990941,135750450821.00,1.05,0.95,34.50,0.34
2009-11-24,3680.75,3548.08,3698.13,3538.86,147566822,203721992217.00,4.35,-3.20,-117.43,0.53
2009-11-25,3541.51,3629.63,3630.30,3508.06,114602329,157030857712.00,3.45,2.30,81.55,0.41
