Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,2723.32,2775.46,2783.44,2723.32,15436977,29981160182.00,2.19,1.05,28.72,0.00
2009-07-02,2790.97,2860.19,2861.09,2790.97,24225807,40597753643.00,2.53,3.05,84.73,0.00
2009-07-03,2827.11,2903.58,2903.58,2827.11,19282271,32608718459.00,2.67,1.52,43.39,0.00
2009-07-06,2902.97,2928.34,2947.29,2891.12,20784850,35223996673.00,1.93,0.85,24.76,0.00
2009-07-07,2910.00,2884.29,2915.70,2873.59,18555949,30192964254.00,1.44,-1.50,-44.05,0.00
2009-07-08,2847.37,2931.89,2931.89,2844.54,16247568,27613653271.00,3.03,1.65,47.60,0.00
2009-07-09,2924.03,2957.43,2957.43,2905.50,17050718,27413107127.00,1.77,0.87,25.54,0.00
2009-07-10,2961.48,2952.56,2991.10,2951.94,19687236,30885722900.00,1.32,-0.16,-4.87,0.00
2009-07-13,2928.16,2879.25,2928.16,2878.52,16602879,26405348445.00,1.68,-2.48,-73.31,0.00
2009-07-14,2913.74,2938.41,2938.41,2913.74,14024020,22098324619.00,0.86,2.05,59.16,0.00
2009-07-15,2953.92,3034.49,3034.49,2939.04,23268896,39074701177.00,3.25,3.27,96.08,0.00
2009-07-16,3063.60,3022.43,3109.95,3013.52,22945481,39678346258.00,3.18,-0.40,-12.06,0.00
2009-07-17,3016.93,3119.47,3119.47,3016.93,22425574,38129501952.00,3.39,3.21,97.04,0.00
2009-07-20,3142.41,3280.22,3280.65,3142.41,27630589,48998493810.00,4.43,5.15,160.75,0.00
2009-07-21,3297.54,3205.77,3297.54,3205.72,22223968,40136232678.00,2.80,-2.27,-74.45,0.00
2009-07-22,3185.39,3346.34,3384.34,3185.39,22973662,42885597035.00,6.21,4.38,140.57,0.00
2009-07-23,3355.82,3386.21,3404.95,3351.81,18685499,34403725669.00,1.59,1.19,39.87,0.00
2009-07-24,3405.39,3493.92,3495.54,3382.72,24410789,46649361409.00,3.33,3.18,107.71,0.00
2009-07-27,3488.68,3579.38,3579.38,3456.83,26908129,54381480470.00,3.51,2.45,85.46,0.00
2009-07-28,3567.20,3525.13,3581.40,3480.20,22210328,45868466667.00,2.83,-1.52,-54.25,0.00
2009-07-29,3485.52,3285.34,3485.52,3257.77,23399764,43105766916.00,6.46,-6.80,-239.79,0.00
2009-07-30,3285.93,3326.00,3326.00,3174.53,17795051,33515714546.00,4.61,1.24,40.66,0.00
2009-07-31,3373.43,3460.56,3461.58,3353.27,18404862,35601800364.00,3.26,4.05,134.56,0.00
2009-08-03,3490.04,3541.48,3569.17,3444.63,21435819,41655088820.00,3.60,2.34,80.92,0.00
2009-08-04,3564.85,3662.77,3662.89,3541.92,25801967,49731878511.00,3.42,3.42,121.29,0.00
2009-08-05,3656.53,3596.17,3656.53,3524.04,20980160,41263857084.00,3.62,-1.82,-66.60,0.00
2009-08-06,3545.17,3457.29,3545.17,3457.07,17047298,32518029258.00,2.45,-3.86,-138.88,0.00
2009-08-07,3440.90,3307.73,3460.92,3305.58,16407610,30520343185.00,4.49,-4.33,-149.56,0.00
2009-08-10,3341.33,3321.42,3370.62,3243.91,13718876,27557926190.00,3.83,0.41,13.69,0.00
2009-08-11,3332.14,3307.49,3332.14,3263.89,9286652,18242389295.00,2.05,-0.42,-13.93,0.00
2009-08-12,3289.00,3116.82,3289.00,3116.82,12916637,24393107766.00,5.21,-5.76,-190.67,0.00
2009-08-13,3122.44,3194.69,3199.68,3096.40,12613388,24823469127.00,3.31,2.50,77.87,0.00
2009-08-14,3205.69,3121.87,3230.11,3119.21,13347742,26343374243.00,3.47,-2.28,-72.82,0.00
2009-08-17,3016.04,2869.88,3045.58,2869.88,13664571,23708924817.00,5.63,-8.07,-251.99,0.00
