Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,2547.41,2577.22,2577.80,2544.74,16678263,18271182848.00,1.29,0.75,19.06,0.00
2009-07-02,2585.70,2607.66,2611.10,2580.35,20741445,25172359168.00,1.19,1.18,30.44,0.00
2009-07-03,2587.28,2617.21,2622.76,2583.65,20460543,24200034304.00,1.50,0.37,9.55,0.00
2009-07-06,2622.60,2645.33,2653.11,2610.18,24661965,27763814400.00,1.64,1.07,28.12,0.00
2009-07-07,2641.42,2640.31,2662.28,2629.70,23841858,24529350656.00,1.23,-0.19,-5.02,0.00
2009-07-08,2621.82,2650.71,2657.08,2600.65,21239894,23087161344.00,2.14,0.39,10.40,0.00
2009-07-09,2656.45,2706.57,2707.32,2654.86,23930019,28404803584.00,1.98,2.11,55.86,0.00
2009-07-10,2710.01,2714.64,2733.81,2703.61,21870248,25187254272.00,1.12,0.30,8.07,0.00
2009-07-13,2712.98,2750.36,2779.56,2710.20,21487420,27091777536.00,2.56,1.32,35.72,0.00
2009-07-14,2759.82,2802.08,2802.25,2746.70,22327932,26863208448.00,2.02,1.88,51.72,0.00
2009-07-15,2813.60,2850.74,2858.22,2812.54,31402492,34549219328.00,1.63,1.74,48.66,0.00
2009-07-16,2862.23,2816.42,2868.14,2813.27,25436720,30768396288.00,1.92,-1.20,-34.32,0.00
2009-07-17,2819.31,2832.02,2840.44,2803.57,20253270,25094989824.00,1.31,0.55,15.60,0.00
2009-07-20,2845.50,2897.59,2898.59,2839.74,28826680,33764005888.00,2.08,2.32,65.57,0.00
2009-07-21,2910.77,2835.17,2913.44,2831.00,27444475,32574918656.00,2.85,-2.15,-62.42,0.00
2009-07-22,2836.45,2876.01,2877.25,2836.35,20714690,26765074432.00,1.44,1.44,40.84,0.00
2009-07-23,2880.59,2885.17,2885.76,2851.99,18638964,23540295680.00,1.17,0.32,9.16,0.00
2009-07-24,2899.27,2886.14,2917.04,2832.67,25538068,29801267200.00,2.92,0.03,0.97,0.00
2009-07-27,2900.16,2952.17,2952.48,2886.80,31638521,36001239040.00,2.28,2.29,66.03,0.00
2009-07-28,2949.11,3002.40,3010.96,2931.54,35076045,44113051648.00,2.69,1.70,50.23,0.00
2009-07-29,2995.78,2808.07,2995.78,2729.92,33025314,39530086400.00,8.85,-6.47,-194.33,0.00
2009-07-30,2825.72,2849.48,2864.79,2760.45,23643636,28754624512.00,3.72,1.47,41.41,0.00
2009-07-31,2875.56,2940.09,2946.76,2856.52,25973020,33477685248.00,3.17,3.18,90.61,0.00
2009-08-03,2955.31,3009.25,3011.14,2951.06,29193331,37224259584.00,2.04,2.35,69.16,0.00
2009-08-04,3015.87,3038.78,3039.30,2968.75,28937810,37085270016.00,2.34,0.98,29.53,0.00
2009-08-05,3043.09,3064.82,3109.40,3022.16,35258200,41802874880.00,2.87,0.86,26.04,0.00
2009-08-06,3043.02,3003.20,3062.37,2966.03,26178957,36867358720.00,3.14,-2.01,-61.62,0.00
