Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,4118.78,4201.07,4214.88,4118.78,16725721,34755633152.00,2.31,1.06,43.86,0.00
2009-07-02,4227.93,4328.51,4331.45,4227.93,25943660,46803705856.00,2.46,3.03,127.44,0.00
2009-07-03,4277.44,4391.96,4391.96,4277.44,18604689,35828027392.00,2.65,1.47,63.45,0.00
2009-07-06,4393.80,4435.91,4467.43,4380.76,21167462,39360372736.00,1.97,1.00,43.95,0.00
2009-07-07,4409.00,4359.37,4417.45,4342.12,18414806,33252825088.00,1.70,-1.73,-76.54,0.00
2009-07-08,4299.22,4433.75,4433.75,4293.53,16120775,29932437504.00,3.22,1.71,74.38,0.00
2009-07-09,4425.19,4476.06,4476.06,4395.55,17610560,31031502848.00,1.82,0.95,42.31,0.00
2009-07-10,4478.60,4459.78,4525.56,4458.91,19716231,33800151040.00,1.49,-0.36,-16.28,0.00
2009-07-13,4424.30,4338.70,4424.30,4336.25,15768680,27763146752.00,1.97,-2.71,-121.08,0.00
2009-07-14,4392.71,4425.42,4425.42,4390.99,12732242,23941214208.00,0.79,2.00,86.72,0.00
2009-07-15,4451.75,4603.01,4603.01,4433.35,24791099,46335401984.00,3.83,4.01,177.59,0.00
2009-07-16,4657.58,4606.46,4747.63,4586.50,25768572,50263896064.00,3.50,0.07,3.45,0.00
2009-07-17,4598.30,4777.26,4777.26,4598.30,23269320,43477839872.00,3.88,3.71,170.80,0.00
2009-07-20,4817.30,5050.07,5050.87,4817.30,29221220,56504201216.00,4.89,5.71,272.81,0.00
2009-07-21,5076.05,4934.05,5076.05,4934.03,23975948,46634029056.00,2.81,-2.30,-116.02,0.00
2009-07-22,4897.67,5129.97,5205.66,4897.67,23922503,48499859456.00,6.24,3.97,195.92,0.00
2009-07-23,5151.64,5180.74,5222.33,5137.49,17811756,36480708608.00,1.65,0.99,50.77,0.00
2009-07-24,5221.74,5369.96,5375.12,5184.02,27003664,56796135424.00,3.69,3.65,189.22,0.00
2009-07-27,5360.32,5517.95,5517.95,5310.89,29484684,64028504064.00,3.86,2.76,147.99,0.00
2009-07-28,5499.69,5416.12,5521.79,5351.68,22263155,51984306176.00,3.08,-1.85,-101.83,0.00
2009-07-29,5352.06,5048.42,5352.06,4998.19,23542420,49588154368.00,6.53,-6.79,-367.70,0.00
2009-07-30,5049.74,5126.85,5126.85,4863.61,19397555,41102573568.00,5.21,1.55,78.43,0.00
2009-07-31,5208.64,5352.46,5353.62,5176.73,20285093,44677144576.00,3.45,4.40,225.61,0.00
2009-08-03,5400.67,5456.74,5515.20,5319.16,21433261,48637841408.00,3.66,1.95,104.28,0.00
2009-08-04,5491.71,5619.71,5619.91,5423.71,21436713,51244965888.00,3.60,2.99,162.97,0.00
2009-08-05,5613.59,5521.34,5613.59,5393.07,18269619,43732496384.00,3.92,-1.75,-98.37,0.00
2009-08-06,5435.37,5292.18,5435.37,5292.18,16296779,35436498944.00,2.59,-4.15,-229.16,0.00
2009-08-07,5257.31,5035.28,5290.35,5032.70,17206198,36219551744.00,4.87,-4.85,-256.90,0.00
2009-08-10,5085.53,5065.54,5141.04,4935.20,14494546,32709601280.00,4.09,0.60,30.26,0.00
2009-08-11,5081.51,5044.85,5081.51,4966.68,9840040,21802893312.00,2.27,-0.41,-20.69,0.00
2009-08-12,5007.59,4740.63,5007.59,4739.79,13706847,28806094848.00,5.31,-6.03,-304.22,0.00
2009-08-13,4760.19,4882.19,4889.43,4716.20,13948109,30463277056.00,3.65,2.99,141.56,0.00
2009-08-14,4900.50,4784.45,4956.22,4780.96,15336924,33653196800.00,3.59,-2.00,-97.74,0.00
2009-08-17,4601.54,4380.59,4650.83,4380.59,14620069,28423118848.00,5.65,-8.44,-403.86,0.00
2009-08-18,4322.55,4483.15,4483.15,4302.90,13623225,26050220032.00,4.11,2.34,102.56,0.00
2009-08-19,4504.50,4202.43,4504.50,4162.83,13856341,25854996480.00,7.62,-6.26,-280.72,0.00
2009-08-20,4231.06,4458.73,4464.89,4231.06,15582838,30450997248.00,5.56,6.10,256.30,0.00
2009-08-21,4430.29,4565.96,4565.96,4381.35,15933406,31039315968.00,4.14,2.40,107.23,0.00
2009-08-24,4638.21,4696.90,4735.41,4622.68,15505425,32667279360.00,2.47,2.87,130.94,0.00
2009-08-25,4634.73,4539.30,4634.73,4373.33,14742336,29253828608.00,5.57,-3.36,-157.60,0.00
2009-08-26,4468.76,4588.42,4668.67,4468.76,11823697,23248908288.00,4.40,1.08,49.12,0.00
