Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,2934.08,2988.36,2996.40,2934.08,15842020,30133638710.00,2.11,1.01,29.83,0.00
2009-07-02,3004.95,3080.89,3082.78,3004.95,25742951,41616779321.00,2.60,3.10,92.53,0.00
2009-07-03,3044.30,3127.33,3127.33,3044.30,20135767,33034594836.00,2.70,1.51,46.44,0.00
2009-07-06,3126.71,3149.56,3170.42,3113.30,20859775,34632294748.00,1.83,0.71,22.23,0.00
2009-07-07,3129.92,3097.54,3133.76,3086.74,17926256,29073797528.00,1.49,-1.65,-52.02,0.00
2009-07-08,3056.82,3148.51,3148.51,3053.85,16024294,27025789331.00,3.06,1.65,50.97,0.00
2009-07-09,3140.22,3176.40,3176.40,3120.08,17563308,27669431263.00,1.79,0.89,27.89,0.00
2009-07-10,3180.29,3167.50,3208.88,3166.80,19545327,30379628491.00,1.32,-0.28,-8.90,0.00
2009-07-13,3141.45,3089.28,3141.45,3087.85,16840781,26227323327.00,1.69,-2.47,-78.22,0.00
2009-07-14,3125.51,3153.24,3153.24,3125.51,14159432,22224224378.00,0.90,2.07,63.96,0.00
2009-07-15,3169.81,3254.79,3254.79,3152.86,23811999,39072248997.00,3.23,3.22,101.55,0.00
2009-07-16,3286.56,3237.72,3337.00,3228.33,23299997,39685487291.00,3.34,-0.52,-17.07,0.00
2009-07-17,3231.95,3345.87,3345.87,3231.95,22851673,38357376863.00,3.52,3.34,108.15,0.00
2009-07-20,3372.04,3525.91,3526.49,3372.04,29545496,50814782398.00,4.62,5.38,180.04,0.00
2009-07-21,3545.81,3444.85,3545.81,3444.64,23759713,41210220293.00,2.87,-2.30,-81.06,0.00
2009-07-22,3421.36,3590.93,3632.56,3421.36,23823587,43272931854.00,6.13,4.24,146.08,0.00
2009-07-23,3600.11,3631.78,3649.19,3594.14,18742530,34224891730.00,1.53,1.14,40.85,0.00
2009-07-24,3652.50,3755.62,3758.51,3632.45,26008573,48423804279.00,3.47,3.41,123.84,0.00
2009-07-27,3749.11,3851.31,3851.31,3718.94,28919846,56404399535.00,3.52,2.55,95.69,0.00
2009-07-28,3837.01,3787.73,3849.76,3739.72,23201716,46524672193.00,2.86,-1.65,-63.58,0.00
2009-07-29,3744.65,3531.57,3744.65,3503.91,23541262,43256123461.00,6.36,-6.76,-256.16,0.00
2009-07-30,3531.68,3576.05,3576.05,3411.06,17940140,33532848593.00,4.67,1.26,44.48,0.00
2009-07-31,3628.01,3718.93,3720.30,3604.90,18478965,35587158669.00,3.23,4.00,142.88,0.00
2009-08-03,3750.14,3789.90,3823.11,3696.66,20418724,39912950072.00,3.40,1.91,70.97,0.00
2009-08-04,3813.15,3911.86,3912.32,3778.30,24331781,47112386725.00,3.54,3.22,121.96,0.00
2009-08-05,3907.20,3841.96,3907.20,3764.68,21341047,41418198653.00,3.64,-1.79,-69.90,0.00
2009-08-06,3786.77,3692.02,3786.77,3691.80,17104896,32214251930.00,2.47,-3.90,-149.94,0.00
2009-08-07,3674.83,3529.66,3696.37,3527.42,16743314,30392903949.00,4.58,-4.40,-162.36,0.00
