Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,1632.54,1641.43,1644.50,1622.97,5512298,4633188893.00,1.31,-0.34,-5.63,0.00
2009-07-02,1646.69,1657.33,1660.64,1641.75,6904011,6137245701.00,1.15,0.97,15.90,0.00
2009-07-03,1644.97,1670.50,1675.20,1642.33,7723614,7122540732.00,1.98,0.79,13.17,0.00
2009-07-06,1675.04,1707.43,1712.44,1667.50,11200067,9866035743.00,2.69,2.21,36.93,0.00
2009-07-07,1702.16,1696.51,1719.42,1688.86,10395173,8737630148.00,1.79,-0.64,-10.92,0.00
2009-07-08,1685.44,1704.43,1708.57,1671.65,8661981,7587845295.00,2.18,0.47,7.92,0.00
2009-07-09,1707.83,1738.45,1738.46,1704.69,9479096,8274620698.00,1.98,2.00,34.02,0.00
2009-07-10,1737.55,1741.60,1756.73,1730.41,8732825,7767654993.00,1.51,0.18,3.15,0.00
2009-07-13,1740.08,1728.44,1753.14,1727.07,7744712,6986617107.00,1.50,-0.76,-13.16,0.00
2009-07-14,1728.26,1752.75,1752.85,1724.88,8078674,7335064346.00,1.62,1.41,24.31,0.00
2009-07-15,1765.35,1821.91,1825.13,1765.35,14149176,13090899456.00,3.41,3.95,69.16,0.00
2009-07-16,1834.36,1794.22,1843.49,1792.88,10849043,10657702129.00,2.78,-1.52,-27.69,0.00
2009-07-17,1795.69,1809.51,1813.32,1781.45,7451935,7279854560.00,1.78,0.85,15.29,0.00
2009-07-20,1820.21,1892.03,1898.17,1820.21,13449247,12803809770.00,4.31,4.56,82.52,0.00
2009-07-21,1897.77,1858.46,1903.05,1857.63,10423642,10060029419.00,2.40,-1.77,-33.57,0.00
2009-07-22,1855.81,1892.47,1892.83,1854.23,8171885,8282942883.00,2.08,1.83,34.01,0.00
2009-07-23,1889.56,1881.67,1891.19,1866.98,5829895,5708921417.00,1.28,-0.57,-10.80,0.00
2009-07-24,1891.26,1893.77,1908.56,1839.94,9728994,9098031562.00,3.65,0.64,12.10,0.00
2009-07-27,1905.86,1968.61,1970.31,1890.99,16425734,15166259835.00,4.19,3.95,74.84,0.00
2009-07-28,1959.82,1985.64,2014.78,1950.95,15356316,14204928501.00,3.24,0.87,17.03,0.00
2009-07-29,1981.92,1861.04,1984.25,1803.85,13216589,12459618829.00,9.09,-6.28,-124.60,0.00
2009-07-30,1866.35,1885.88,1898.30,1821.03,9501427,8875498268.00,4.15,1.33,24.84,0.00
2009-07-31,1897.88,1948.28,1963.41,1872.19,10190569,9891428492.00,4.84,3.31,62.40,0.00
2009-08-03,1957.26,2039.29,2043.99,1957.26,14111688,14393766343.00,4.45,4.67,91.01,0.00
2009-08-04,2044.48,2078.43,2079.88,2010.96,13355210,13063607430.00,3.38,1.92,39.14,0.00
2009-08-05,2075.61,2100.94,2134.96,2060.56,14745005,14006220589.00,3.58,1.08,22.51,0.00
2009-08-06,2080.46,2029.04,2080.46,2008.88,9392936,9385110602.00,3.41,-3.42,-71.90,0.00
2009-08-07,2018.17,1939.43,2039.15,1926.43,9079301,9606222124.00,5.56,-4.42,-89.61,0.00
2009-08-10,1962.62,1952.88,1977.63,1906.72,6525760,6592661704.00,3.66,0.69,13.45,0.00
2009-08-11,1958.46,1943.47,1965.31,1913.72,4908583,5069300760.00,2.64,-0.48,-9.41,0.00
2009-08-12,1934.74,1824.85,1934.74,1818.75,7049670,6845806831.00,5.97,-6.10,-118.62,0.00
2009-08-13,1823.17,1821.71,1837.98,1782.72,6315343,6209257319.00,3.03,-0.17,-3.14,0.00
2009-08-14,1824.77,1747.81,1826.15,1745.27,6928229,6478468872.00,4.44,-4.06,-73.90,0.00
2009-08-17,1724.10,1656.44,1731.41,1647.35,6670022,6249190772.00,4.81,-5.23,-91.37,0.00
2009-08-18,1636.64,1681.73,1694.78,1629.00,5516421,4918802657.00,3.97,1.53,25.29,0.00
2009-08-19,1678.30,1572.55,1678.30,1554.35,5755060,5138524185.00,7.37,-6.49,-109.18,0.00
2009-08-20,1570.63,1630.06,1634.77,1570.63,5509564,4985325045.00,4.08,3.66,57.51,0.00
2009-08-21,1623.62,1655.92,1657.29,1610.34,6001588,5666886749.00,2.88,1.59,25.86,0.00
2009-08-24,1660.09,1661.01,1670.21,1635.08,5352080,5136971170.00,2.12,0.31,5.09,0.00
2009-08-25,1653.71,1606.22,1653.71,1555.65,6624244,6083719835.00,5.90,-3.30,-54.79,0.00
2009-08-26,1599.09,1667.81,1686.27,1591.88,6729607,6002401803.00,5.88,3.83,61.59,0.00
2009-08-27,1659.34,1674.20,1698.96,1649.19,7501932,6474513045.00,2.98,0.38,6.39,0.00
2009-08-28,1661.75,1629.48,1670.48,1605.02,7067060,5910166596.00,3.91,-2.67,-44.72,0.00
2009-08-31,1601.96,1518.37,1601.96,1511.39,5840328,4574787109.00,5.56,-6.82,-111.11,0.00
2009-09-01,1505.37,1516.42,1543.03,1489.55,4871545,3883024591.00,3.52,-0.13,-1.95,0.00
2009-09-02,1507.61,1525.59,1532.74,1495.36,5454235,4101338620.00,2.47,0.60,9.17,0.00
2009-09-03,1524.42,1595.94,1602.71,1519.38,7115694,5879378052.00,5.46,4.61,70.35,0.00
2009-09-04,1591.88,1597.52,1602.96,1570.48,5928952,5032849175.00,2.04,0.10,1.58,0.00
2009-09-07,1606.24,1599.19,1629.32,1587.80,5749296,4936178546.00,2.60,0.10,1.67,0.00
2009-09-08,1589.54,1624.93,1625.20,1570.17,5594036,5027816245.00,3.44,1.61,25.74,0.00
2009-09-09,1628.29,1663.46,1663.79,1607.65,7693181,6997416581.00,3.45,2.37,38.53,0.00
2009-09-10,1653.86,1654.73,1679.34,1646.03,6514323,6640787347.00,2.00,-0.52,-8.73,0.00
2009-09-11,1650.14,1668.23,1679.17,1648.54,5863397,5753113789.00,1.85,0.82,13.50,0.00
2009-09-14,1671.13,1690.69,1696.51,1665.60,6322569,5317328509.00,1.85,1.35,22.46,0.00
2009-09-15,1692.36,1694.30,1703.91,1674.75,7636948,6385581816.00,1.72,0.21,3.61,0.00
2009-09-16,1685.66,1661.46,1687.84,1647.62,6405987,5237947259.00,2.37,-1.94,-32.84,0.00
2009-09-17,1662.20,1693.57,1697.16,1662.20,6516345,5323206525.00,2.10,1.93,32.11,0.00
2009-09-18,1697.32,1638.22,1704.86,1628.60,6826883,5719265118.00,4.50,-3.27,-55.35,0.00
2009-09-21,1619.76,1633.16,1634.46,1581.93,4901453,3855623563.00,3.21,-0.31,-5.06,0.00
2009-09-22,1631.12,1589.60,1648.70,1588.41,5425678,4248552730.00,3.69,-2.67,-43.56,0.00
2009-09-23,1586.71,1556.83,1603.40,1549.99,4940940,3964004440.00,3.36,-2.06,-32.77,0.00
2009-09-24,1546.53,1545.87,1556.81,1510.55,4505195,3484152793.00,2.97,-0.70,-10.96,0.00
2009-09-25,1547.11,1533.97,1552.30,1528.19,3947586,2918985965.00,1.56,-0.77,-11.90,0.00
2009-09-28,1537.82,1483.54,1546.56,1477.94,3343705,2529971992.00,4.47,-3.29,-50.43,0.00
2009-09-29,1484.49,1469.97,1492.52,1445.93,3814946,2874476918.00,3.14,-0.91,-13.57,0.00
2009-09-30,1480.68,1475.50,1491.12,1472.09,2438694,1831477791.00,1.29,0.38,5.53,0.00
2009-10-09,1517.32,1558.99,1559.64,1515.17,4233533,3480079778.00,3.01,5.66,83.49,0.00
2009-10-12,1566.60,1539.96,1567.05,1538.93,3767291,3068034506.00,1.80,-1.22,-19.03,0.00
2009-10-13,1534.89,1557.91,1558.97,1532.08,3284823,2582202608.00,1.75,1.17,17.95,0.00
2009-10-14,1558.74,1579.47,1599.32,1554.83,5721141,4438384617.00,2.86,1.38,21.56,0.00
2009-10-15,1591.06,1577.69,1602.19,1567.93,4109454,3225628552.00,2.17,-0.11,-1.78,0.00
2009-10-16,1580.88,1582.66,1590.88,1554.69,3664356,3038535605.00,2.29,0.32,4.97,0.00
2009-10-19,1580.33,1609.38,1611.32,1567.24,4518978,3766855152.00,2.79,1.69,26.72,0.00
2009-10-20,1618.10,1640.16,1643.86,1615.45,6592694,5557839127.00,1.77,1.91,30.78,0.00
2009-10-21,1640.02,1626.84,1645.13,1624.99,5144632,4279859072.00,1.23,-0.81,-13.32,0.00
2009-10-22,1622.71,1619.58,1633.07,1615.38,3609781,3084471726.00,1.09,-0.45,-7.26,0.00
2009-10-23,1621.61,1646.63,1664.78,1621.61,6093468,5221035902.00,2.67,1.67,27.05,0.00
2009-10-26,1646.89,1637.02,1648.86,1624.08,4809464,3859976125.00,1.50,-0.58,-9.61,0.00
2009-10-27,1628.81,1589.16,1628.83,1587.12,5240520,4577348721.00,2.55,-2.92,-47.86,0.00
2009-10-28,1581.13,1591.63,1594.74,1559.38,4178477,3268623152.00,2.23,0.16,2.47,0.00
2009-10-29,1566.70,1553.26,1572.63,1547.88,3632246,2876864738.00,1.56,-2.41,-38.37,0.00
2009-10-30,1576.41,1565.00,1584.60,1563.74,3304570,2658735347.00,1.34,0.76,11.74,0.00
2009-11-02,1534.83,1603.37,1604.66,1527.75,4505669,3679409617.00,4.91,2.45,38.37,0.00
2009-11-03,1604.64,1626.34,1632.43,1599.92,5087373,4174710877.00,2.03,1.43,22.97,0.00
2009-11-04,1635.05,1645.90,1656.81,1632.51,6135552,5046838395.00,1.49,1.20,19.56,0.00
2009-11-05,1652.65,1689.09,1693.69,1652.19,8968622,7229188799.00,2.52,2.62,43.19,0.00
2009-11-06,1710.96,1704.99,1721.27,1699.57,7981611,6781842483.00,1.28,0.94,15.90,0.00
2009-11-09,1711.08,1706.36,1715.21,1686.18,5372758,4331429892.00,1.70,0.08,1.37,0.00
2009-11-10,1716.98,1715.01,1723.51,1707.43,6545266,5236816062.00,0.94,0.51,8.65,0.00
2009-11-11,1714.64,1723.52,1735.23,1708.20,6194867,5206011405.00,1.58,0.50,8.51,0.00
2009-11-12,1731.57,1729.73,1751.24,1720.89,8284469,7538303387.00,1.76,0.36,6.21,0.00
2009-11-13,1731.21,1741.45,1746.74,1703.37,8080941,7126981119.00,2.51,0.68,11.72,0.00
2009-11-16,1756.97,1796.42,1802.78,1754.78,10480336,9089068672.00,2.76,3.16,54.97,0.00
2009-11-17,1802.69,1795.79,1807.59,1789.21,7525819,6753697067.00,1.02,-0.04,-0.63,0.00
2009-11-18,1797.37,1798.00,1804.16,1786.78,6689857,6055503429.00,0.97,0.12,2.21,0.00
2009-11-19,1803.55,1815.51,1816.30,1784.04,7902586,6980197465.00,1.79,0.97,17.51,0.00
2009-11-20,1801.94,1796.82,1814.14,1781.35,7184972,6682286921.00,1.81,-1.03,-18.69,0.00
2009-11-23,1797.55,1809.32,1810.05,1789.87,6439270,6154391684.00,1.12,0.70,12.50,0.00
2009-11-24,1815.32,1738.30,1829.80,1726.89,10717281,9492868594.00,5.69,-3.93,-71.02,0.00
2009-11-25,1731.08,1775.94,1776.44,1711.30,7440911,6223390117.00,3.75,2.17,37.64,0.00
2009-11-26,1780.80,1712.72,1793.26,1705.52,10004663,8338013984.00,4.94,-3.56,-63.22,0.00
2009-11-27,1693.04,1667.51,1705.59,1659.91,5224914,4399426964.00,2.67,-2.64,-45.21,0.00
